department,n_words,pct_of_vocabulary,mean_enrichment,example_words
Transcription,525,27.2,6.34,0xC4DA;0x0BD4;0x4426
Unclassified,438,22.7,0.00,0x75D5;0x596F;0x6B6D
Chromatin,241,12.5,5.63,0x8DF4;0x0B9F;0xB907
Structural,149,7.7,17.98,0x882A;0xC829;0x9C99
Cytoskeleton,127,6.6,6.16,0x8693;0xCB9E;0xA563
RNA processing,112,5.8,12.91,0xE5DE;0x7797;0xE69A
Cell adhesion,62,3.2,7.98,0x0610;0x8798;0x4184
Cell cycle,58,3.0,4.62,0x0620;0x0450;0x0420
DNA repair,42,2.2,4.01,0x096A;0x0B25;0xE42C
Nuc acid bind,34,1.8,3.71,0x0BD0;0x05D3;0x3410
Methylation,29,1.5,11.50,0x0B2C;0xE42E;0x07D5
Phosphatase,27,1.4,6.86,0x4144;0x6144;0x765E
Kinase,21,1.1,4.61,0x0A9B;0xE62C;0xB7D8
Transport,14,0.7,3.98,0x0AD1;0xA450;0x2442
Ion channel,11,0.6,4.73,0x35D1;0x056B;0xC5DC
GTPase,10,0.5,6.23,0xE410;0x4428;0x0650
Translation,9,0.5,12.16,0x082B;0x0A90;0x820B
Ubiquitin,8,0.4,9.25,0x1041;0xA69B;0x7698
Protein folding,4,0.2,12.97,0x8421;0x881C;0xB650
Proteolysis,4,0.2,6.65,0x5A11;0x669A;0x659659
Apoptosis,3,0.2,6.97,0xE72C;0xD75D35;0xCBDCBD
Signaling,3,0.2,3.83,0x5B90;0xF5D87D;0xF6DF6DF6
Immune,1,0.1,5.80,0x5A159D
