gene,department
A0A0G2JRQ6,Immune
A0A2R8Y747,Signaling
A0A499FJF3,Signaling
A0AAG2SUK6,Translation
A0AAG2SWV4,Transport
A0AAG2SWV4,Ion channel
A0AAG2TTP8,Translation
A0AAQ5BHU3,Nuc acid bind
A0AAQ5BHU3,Structural
A0ABB0MV19,Transport
A0ABB0MV19,Ion channel
A0ABB0MV19,Translation
A0ABJ7H351,Ubiquitin
A1CF,RNA processing
A1CF,Nuc acid bind
A8MVJ9,DNA repair
AAK1,Kinase
AAR2,RNA processing
AARS1,Nuc acid bind
AARS1,Translation
AARS2,Nuc acid bind
AARS2,Translation
AARSD1,Nuc acid bind
AARSD1,Translation
AASS,Transcription
AATF,Nuc acid bind
AATK,Kinase
ABCA1,Transport
ABCA10,Transport
ABCA12,Transport
ABCA13,Transport
ABCA2,Transport
ABCA3,Transport
ABCA4,Transport
ABCA4,GTPase
ABCA5,Transport
ABCA6,Transport
ABCA7,Transport
ABCA8,Transport
ABCA9,Transport
ABCB1,Transport
ABCB10,Transport
ABCB11,Ubiquitin
ABCB11,Transport
ABCB4,Transport
ABCB5,Transport
ABCB6,Transport
ABCB7,Transport
ABCB8,Transport
ABCB8,Ion channel
ABCB9,Transport
ABCC1,Transport
ABCC10,Transport
ABCC10,Immune
ABCC11,Transport
ABCC12,Transport
ABCC2,Transport
ABCC3,Transport
ABCC4,Transport
ABCC5,Transport
ABCC6,Transport
ABCC8,Transport
ABCC9,Transport
ABCD1,Transport
ABCD2,Transport
ABCD3,Transport
ABCD4,Transport
ABCE1,Translation
ABCE1,GTPase
ABCF1,Nuc acid bind
ABCF1,Immune
ABCF1,Translation
ABCG1,Transport
ABCG2,Transport
ABCG4,Transcription
ABCG4,Transport
ABCG5,Transport
ABCG8,Transport
ABHD14B,Transcription
ABHD8,Immune
ABI2,Cytoskeleton
ABI3BP,Structural
ABL1,Transcription
ABL1,Kinase
ABL1,Signaling
ABL1,DNA repair
ABL1,Apoptosis
ABL1,Cell adhesion
ABL2,Kinase
ABL2,Signaling
ABL2,Cell adhesion
ABLIM1,Cytoskeleton
ABLIM2,Cytoskeleton
ABLIM3,Cytoskeleton
ABR,Signaling
ABR,GTPase
ABRA,Transcription
ABRAXAS1,Chromatin
ABRAXAS1,DNA repair
ABRAXAS2,Cell cycle
ABT1,Transcription
ABT1,Nuc acid bind
ABTB1,Translation
ACAA2,Nuc acid bind
ACAN,Proteolysis
ACAN,Structural
ACAN,Cell adhesion
ACE,Proteolysis
ACE2,Transcription
ACE2,Proteolysis
ACER2,DNA repair
ACER3,Immune
ACHE,Cell adhesion
ACIN1,RNA processing
ACIN1,Nuc acid bind
ACIN1,Apoptosis
ACKR1,Signaling
ACKR1,Immune
ACKR2,Signaling
ACKR2,Immune
ACKR3,Signaling
ACKR3,Immune
ACKR3,Cell adhesion
ACKR4,Signaling
ACKR4,Transport
ACKR4,Immune
ACO1,Nuc acid bind
ACOD1,Immune
ACOT11,Signaling
ACP1,Phosphatase
ACR,Proteolysis
ACTA1,Structural
ACTA2,Structural
ACTA2,Cytoskeleton
ACTB,Chromatin
ACTB,Transcription
ACTB,Structural
ACTB,Cytoskeleton
ACTC1,Structural
ACTG1,Structural
ACTG1,Cytoskeleton
ACTG2,Structural
ACTG2,Cytoskeleton
ACTL10,Structural
ACTL10,Cytoskeleton
ACTL6A,Chromatin
ACTL6A,Transcription
ACTL6A,Signaling
ACTL6A,DNA repair
ACTL6B,Chromatin
ACTL6B,Transcription
ACTL6B,Structural
ACTL6B,Cytoskeleton
ACTL7A,Structural
ACTL7A,Cytoskeleton
ACTL7B,Structural
ACTL7B,Cytoskeleton
ACTL9,Structural
ACTL9,Cytoskeleton
ACTMAP,Proteolysis
ACTN2,Cell adhesion
ACTN4,Transcription
ACTN4,Nuc acid bind
ACTR10,Structural
ACTR10,Cytoskeleton
ACTR1A,Transport
ACTR1A,Structural
ACTR1A,Cytoskeleton
ACTR1B,Structural
ACTR1B,Cytoskeleton
ACTR2,Transcription
ACTR2,Structural
ACTR3,Transcription
ACTR3,Structural
ACTR5,Chromatin
ACTR5,Transcription
ACTR5,DNA repair
ACTR6,Chromatin
ACTR6,Transcription
ACTR8,Chromatin
ACTR8,Transcription
ACTR8,Cell cycle
ACTR8,DNA repair
ACTRT1,Transcription
ACTRT1,Structural
ACTRT1,Cytoskeleton
ACTRT2,Structural
ACTRT2,Cytoskeleton
ACTRT3,Structural
ACTRT3,Cytoskeleton
ACVR1,Transcription
ACVR1,Kinase
ACVR1B,Transcription
ACVR1B,Kinase
ACVR1B,Signaling
ACVR1C,Kinase
ACVR1C,Apoptosis
ACVR2A,Transcription
ACVR2A,Kinase
ACVR2B,Transcription
ACVR2B,Kinase
ACVR2B,Signaling
ACVRL1,Transcription
ACVRL1,Kinase
ACVRL1,Signaling
ADA,Cell adhesion
ADA2,Signaling
ADAD1,RNA processing
ADAD1,Nuc acid bind
ADAD2,RNA processing
ADAD2,Nuc acid bind
ADAM10,Proteolysis
ADAM11,Proteolysis
ADAM12,Proteolysis
ADAM12,Cell adhesion
ADAM15,Proteolysis
ADAM15,Immune
ADAM15,Apoptosis
ADAM15,Cell adhesion
ADAM17,Proteolysis
ADAM17,Cell adhesion
ADAM18,Proteolysis
ADAM18,Cell adhesion
ADAM19,Proteolysis
ADAM2,Proteolysis
ADAM2,Cell adhesion
ADAM20,Proteolysis
ADAM21,Proteolysis
ADAM22,Proteolysis
ADAM22,Cell adhesion
ADAM23,Proteolysis
ADAM23,Cell adhesion
ADAM28,Proteolysis
ADAM29,Proteolysis
ADAM30,Proteolysis
ADAM32,Proteolysis
ADAM32,Cell adhesion
ADAM33,Proteolysis
ADAM7,Proteolysis
ADAM8,Proteolysis
ADAM8,Immune
ADAM9,Proteolysis
ADAM9,Cell adhesion
ADAMDEC1,Proteolysis
ADAMDEC1,Immune
ADAMTS1,Proteolysis
ADAMTS10,Proteolysis
ADAMTS12,Proteolysis
