word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0xC71C,2,76,0.4,207.1,76,40,65,Transcription,2.96,1.5478298593994305e-11,31,1,Transcription(2.96x)
0xCB2C,2,247,1.5,164.8,247,121,185,Transcription,2.34,3.646400826389719e-16,74,1,Transcription(2.34x)
0xB2CB,2,181,1.6,112.4,181,84,144,Transcription,2.55,6.535407107632252e-15,56,1,Transcription(2.55x)
0xF7DF,2,373,4.1,90.9,373,103,286,RNA processing,3.95,4.839304282114731e-06,15,2,RNA processing(3.95x); Chromatin(2.95x)
0x71C7,2,96,1.1,87.3,96,43,79,Transcription,2.93,5.4275292313458675e-12,33,1,Transcription(2.93x)
0x0410,2,161,2.5,65.7,161,75,137,Transcription,2.8,1.3672157964916799e-17,55,1,Transcription(2.8x)
0xE79E,2,71,1.1,63.8,71,21,58,RNA processing,6.46,0.0008214366335129838,5,1,RNA processing(6.46x)
0xA69A,2,458,9.3,49.4,458,150,365,Nuc acid bind,1.83,2.0509194613097792e-05,45,2,Nuc acid bind(1.83x); Transcription(1.73x)
0x2CB2,2,278,6.0,46.2,278,133,217,Transcription,2.39,9.234161501674669e-19,83,1,Transcription(2.39x)
0x1C71,2,118,3.1,37.9,118,56,92,Transcription,2.93,2.9279904283057796e-15,43,1,Transcription(2.93x)
0x34D3,2,85,2.3,36.3,85,21,63,Transcription,2.73,1.811161888745336e-05,15,1,Transcription(2.73x)
0xF56F,2,59,1.7,35.6,59,22,46,Kinase,3.67,0.00012843125696169753,10,1,Kinase(3.67x)
0x8B98,2,102,3.3,31.2,102,28,82,RNA processing,7.76,5.057569153047517e-06,8,3,RNA processing(7.76x); Chromatin(5.42x); Nuc acid bind(2.61x)
0xA79A,2,84,2.7,30.9,84,43,72,Nuc acid bind,4.96,8.501487689398162e-21,35,2,Nuc acid bind(4.96x); RNA processing(4.42x)
0x0B90,2,94,3.5,27.2,94,34,81,Unclassified,0,1.0,0,0,
0xE790,2,90,3.3,27.1,90,25,72,Unclassified,0,1.0,0,0,
0xB790,2,68,2.7,25.6,68,17,56,Unclassified,0,1.0,0,0,
0xE69E,2,52,2.1,24.3,52,24,46,RNA processing,5.66,0.0015669445703006672,5,2,RNA processing(5.66x); Nuc acid bind(3.56x)
0x8618,2,442,18.8,23.6,442,128,364,Chromatin,3.85,3.043068271908405e-05,13,3,Chromatin(3.85x); DNA repair(3.03x); Transcription(1.52x)
0xB6DB,2,246,10.5,23.4,246,88,215,Transcription,1.69,0.00016328429425765077,39,1,Transcription(1.69x)
0x7DF7,2,483,21.1,22.9,483,137,380,RNA processing,2.77,0.0005020940904007234,14,2,RNA processing(2.77x); Nuc acid bind(1.51x)
0x8798,2,56,2.5,22.9,56,28,47,RNA processing,11.63,9.078355384733161e-11,12,2,RNA processing(11.63x); Nuc acid bind(3.7x)
0x8A28,2,982,45.5,21.6,982,270,784,Chromatin,3.23,6.183126144069372e-07,23,3,Chromatin(3.23x); DNA repair(1.96x); RNA processing(1.91x)
0xB56B,2,93,4.3,21.5,93,30,79,Transport,2.68,0.0024061832105544446,10,1,Transport(2.68x)
0x75D7,2,1603,76.3,21.0,1603,559,1298,Transcription,1.61,2.2598975823457827e-17,235,1,Transcription(1.61x)
0x0820,2,306,14.7,20.9,306,95,258,Chromatin,3.59,0.0008600949896458424,9,2,Chromatin(3.59x); DNA repair(2.97x)
0xF5DF,2,103,5.2,19.6,103,37,88,Kinase,3.49,2.7591143996578602e-06,16,1,Kinase(3.49x)
0x0567,2,100,5.2,19.4,100,61,83,Signaling,4.32,2.25322984254352e-12,28,2,Signaling(4.32x); Kinase(3.71x)
0x0560,2,119,6.2,19.3,119,52,94,Signaling,4.52,9.53860005496841e-12,25,2,Signaling(4.52x); Kinase(2.17x)
0x0960,2,193,10.0,19.3,193,57,163,Signaling,2.81,5.508098415013144e-05,17,1,Signaling(2.81x)
0x082E,2,59,3.1,19.0,59,13,45,Unclassified,0,1.0,0,0,
0x096E,2,51,2.7,19.0,51,19,39,Unclassified,0,1.0,0,0,
0x896E,2,51,2.7,18.6,51,13,44,Signaling,4.34,0.0012586095769843918,6,1,Signaling(4.34x)
0xE798,2,62,3.3,18.5,62,26,55,Ion channel,16.76,8.426613893611092e-05,4,2,Ion channel(16.76x); RNA processing(7.31x)
0x096C,2,73,4.0,18.4,73,19,58,Immune,11.0,0.002365660136518017,3,1,Immune(11.0x)
0x8960,2,188,10.2,18.4,188,54,159,Unclassified,0,1.0,0,0,
0x885F,2,51,2.8,18.0,51,32,44,Signaling,4.12,1.593280835066863e-06,14,2,Signaling(4.12x); Kinase(3.28x)
0xB69B,2,55,3.1,17.9,55,14,42,Transport,3.45,0.00447441465766923,6,1,Transport(3.45x)
0xE5DE,2,63,3.5,17.8,63,21,45,RNA processing,12.93,9.816398983853154e-10,10,2,RNA processing(12.93x); Nuc acid bind(4.36x)
0x7693,2,58,3.3,17.6,58,22,42,Signaling,4.28,3.4195632788019995e-05,10,1,Signaling(4.28x)
0x745F,2,56,3.3,16.8,56,34,41,Kinase,4.04,9.852088265650351e-08,17,2,Kinase(4.04x); Signaling(2.49x)
0xA69C,2,50,3.0,16.6,50,13,31,Unclassified,0,1.0,0,0,
0x72CB,2,82,4.9,16.6,82,31,62,Transcription,2.1,0.0006358526938650081,17,1,Transcription(2.1x)
0xE560,2,124,7.5,16.5,124,44,103,Unclassified,0,1.0,0,0,
0x7790,2,135,8.2,16.4,135,51,106,Signaling,2.4,0.0020614505218933526,13,1,Signaling(2.4x)
0xDF7D,2,915,56.1,16.3,915,252,703,RNA processing,3.23,1.0678572413595623e-08,30,2,RNA processing(3.23x); Nuc acid bind(1.55x)
0x8968,2,239,14.9,16.0,239,73,203,Chromatin,5.2,1.9253893893187037e-05,10,1,Chromatin(5.2x)
0x896C,2,63,4.0,15.6,63,15,46,Unclassified,0,1.0,0,0,
0x4104,2,222,14.4,15.5,222,110,185,Transcription,2.19,3.863658040174624e-12,63,1,Transcription(2.19x)
0x0968,2,224,14.6,15.3,224,60,180,Unclassified,0,1.0,0,0,
0x77DF,2,107,7.3,14.7,107,30,92,RNA processing,5.43,0.0006687745452996024,6,2,RNA processing(5.43x); Kinase(3.23x)
0x8825,2,241,16.5,14.6,241,72,189,DNA repair,3.43,0.004155393446045233,7,1,DNA repair(3.43x)
0xC825,2,58,4.0,14.6,58,20,46,Unclassified,0,1.0,0,0,
0xA69E,2,57,3.9,14.5,57,36,49,Nuc acid bind,4.41,1.4747342612694337e-13,26,1,Nuc acid bind(4.41x)
0x0690,2,62,4.4,14.1,62,18,51,Unclassified,0,1.0,0,0,
0x8208,2,225,16.1,14.0,225,62,185,Chromatin,4.28,0.0011550839847953957,7,1,Chromatin(4.28x)
0xA427,2,64,4.6,14.0,64,28,51,GTPase,6.6,0.0008216168151496323,5,1,GTPase(6.6x)
0x756F,2,115,8.4,13.7,115,51,90,Signaling,2.77,0.00017813453769379353,15,1,Signaling(2.77x)
0x7410,2,102,7.7,13.3,102,59,94,Signaling,3.67,1.0496389415824784e-08,23,2,Signaling(3.67x); Kinase(2.6x)
0xB56C,2,55,4.2,13.1,55,13,48,DNA repair,8.14,0.005220104330175468,3,1,DNA repair(8.14x)
0x0967,2,109,8.4,13.0,109,32,76,Signaling,2.65,0.0048732089324437415,9,1,Signaling(2.65x)
0x8821,2,89,6.8,13.0,89,30,72,Immune,9.29,0.0008305054964605387,4,1,Immune(9.29x)
0xA28A,2,584,45.3,12.9,584,183,474,Chromatin,2.28,0.008987420996902404,11,1,Chromatin(2.28x)
0x0821,2,72,5.6,12.9,72,19,53,Unclassified,0,1.0,0,0,
0x882B,2,65,5.1,12.8,65,17,54,Unclassified,0,1.0,0,0,
0xB568,2,197,15.5,12.7,197,65,172,Transport,2.6,2.120559907384929e-05,21,1,Transport(2.6x)
0x77DE,2,56,4.4,12.6,56,13,43,Unclassified,0,1.0,0,0,
0x1CB2,2,54,4.3,12.5,54,21,38,Transcription,2.18,0.00254126073775921,12,1,Transcription(2.18x)
0x0568,2,113,9.0,12.5,113,38,85,Signaling,4.95,1.434029376736531e-10,20,1,Signaling(4.95x)
0x0825,2,167,13.5,12.4,167,48,140,RNA processing,3.39,0.007936618161020172,6,1,RNA processing(3.39x)
0x28A2,2,1089,88.7,12.3,1089,344,881,Chromatin,2.54,3.5606919401137434e-05,23,1,Chromatin(2.54x)
0x7427,2,101,8.2,12.3,101,34,81,DNA repair,5.18,0.0025004548014023816,5,1,DNA repair(5.18x)
0x8820,2,221,17.9,12.3,221,55,181,Protein folding,5.62,7.588234964376663e-05,8,2,Protein folding(5.62x); Cytoskeleton(5.28x)
0x87D0,2,53,4.3,12.2,53,15,44,Unclassified,0,1.0,0,0,
0xA410,2,52,4.3,12.2,52,26,42,Kinase,3.11,0.0006618930741469209,10,1,Kinase(3.11x)
0xC968,2,62,5.1,12.2,62,23,50,Unclassified,0,1.0,0,0,
0x0698,2,54,4.4,12.1,54,24,50,Chromatin,6.32,0.0032994339091307516,4,1,Chromatin(6.32x)
