word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0xC71C,2,51,0.3,149.5,51,15,41,Unclassified,0,1.0,0,0,
0xCB2C,2,425,4.9,87.6,425,99,217,Chromatin,3.71,1.7586127510806876e-05,14,3,Chromatin(3.71x); Transcription(2.25x); Nuc acid bind(2.09x)
0xB2CB,2,249,3.9,64.6,249,58,135,Chromatin,3.17,0.005985243958901658,7,3,Chromatin(3.17x); Nuc acid bind(2.91x); Transcription(1.96x)
0xE79E,2,65,1.0,64.5,65,23,51,Nuc acid bind,3.67,5.168470987689733e-05,11,1,Nuc acid bind(3.67x)
0xF7DF,2,367,5.8,63.3,367,64,234,Nuc acid bind,2.16,0.0009704750685589005,18,1,Nuc acid bind(2.16x)
0x71C7,2,50,1.0,52.5,50,14,36,Unclassified,0,1.0,0,0,
0xA69A,2,228,4.5,50.8,228,63,167,Nuc acid bind,3.77,2.709502810372949e-12,31,1,Nuc acid bind(3.77x)
0x34D3,2,398,8.2,48.6,398,46,255,Immune,3.5,9.223220437208735e-05,12,1,Immune(3.5x)
0x2CB2,2,457,11.4,40.2,457,102,241,Chromatin,3.6,2.490381241479671e-05,14,3,Chromatin(3.6x); Transcription(2.18x); Nuc acid bind(2.03x)
0xCB2F,2,55,1.6,33.7,55,11,44,Chromatin,7.16,0.007145182905891484,3,1,Chromatin(7.16x)
0xA7DF,2,110,3.3,33.6,110,11,78,Nuc acid bind,3.49,0.008703070784795198,5,1,Nuc acid bind(3.49x)
0x0B90,2,61,1.9,31.4,61,19,54,Unclassified,0,1.0,0,0,
0x8968,2,180,6.1,29.6,180,41,139,Unclassified,0,1.0,0,0,
0xE5DE,2,59,2.0,29.4,59,25,46,RNA processing,16.93,9.217490518090062e-10,9,2,RNA processing(16.93x); Nuc acid bind(4.6x)
0x8B98,2,60,2.3,26.5,60,13,43,Unclassified,0,1.0,0,0,
0x75D7,2,664,27.2,24.4,664,148,413,Signaling,1.78,0.0009889040006367386,30,2,Signaling(1.78x); Transcription(1.69x)
0x6CB2,2,71,2.9,24.3,71,21,45,Transcription,2.81,9.106194345194426e-05,13,1,Transcription(2.81x)
0xC968,2,87,3.7,23.7,87,13,50,Unclassified,0,1.0,0,0,
0x8A28,2,516,22.0,23.4,516,137,359,Chromatin,3.26,1.2945295976272405e-05,17,3,Chromatin(3.26x); RNA processing(3.09x); Nuc acid bind(1.9x)
0x8B90,2,54,2.4,22.8,54,13,46,Unclassified,0,1.0,0,0,
0xB6DB,2,188,8.3,22.6,188,56,131,Nuc acid bind,2.05,0.004226109831568502,15,2,Nuc acid bind(2.05x); Transcription(1.78x)
0xE798,2,51,2.4,21.6,51,21,47,Unclassified,0,1.0,0,0,
0x8960,2,116,5.4,21.4,116,32,94,Cytoskeleton,5.88,0.004365447472916405,4,1,Cytoskeleton(5.88x)
0xE69A,2,60,2.8,21.2,60,31,51,Nuc acid bind,6.68,1.3991719872597592e-20,27,1,Nuc acid bind(6.68x)
0x0960,2,116,5.5,21.0,116,31,102,Kinase,3.02,0.0018795652614533459,9,2,Kinase(3.02x); Signaling(2.55x)
0xF4D3,2,81,4.0,20.4,81,17,51,Unclassified,0,1.0,0,0,
0xC960,2,66,3.3,20.1,66,16,45,Unclassified,0,1.0,0,0,
0xDCB2,2,206,10.3,20.0,206,45,132,Nuc acid bind,2.73,9.457839727647656e-05,16,2,Nuc acid bind(2.73x); Transcription(2.02x)
0x37D3,2,77,3.9,20.0,77,20,34,Unclassified,0,1.0,0,0,
0x0968,2,120,6.2,19.4,120,32,98,Unclassified,0,1.0,0,0,
0x8618,2,294,15.2,19.4,294,95,231,Chromatin,2.49,0.009581170589971495,9,2,Chromatin(2.49x); Transcription(1.53x)
0x72CB,2,254,14.2,17.9,254,61,147,Chromatin,3.01,0.00789517804087455,7,3,Chromatin(3.01x); Nuc acid bind(2.64x); Transcription(2.23x)
0x1CB2,2,91,5.1,17.9,91,25,67,Unclassified,0,1.0,0,0,
0xF7DC,2,60,3.4,17.9,60,15,38,Transcription,2.42,0.00780829824568353,8,1,Transcription(2.42x)
0x0568,2,72,4.0,17.8,72,16,62,Unclassified,0,1.0,0,0,
0x0690,2,57,3.2,17.8,57,18,47,Structural,8.29,0.005142572729952598,3,2,Structural(8.29x); Cytoskeleton(7.84x)
0x0560,2,64,3.6,17.7,64,16,61,Unclassified,0,1.0,0,0,
0xB7DF,2,76,4.4,17.4,76,13,63,Unclassified,0,1.0,0,0,
0x0820,2,279,16.3,17.1,279,64,206,Unclassified,0,1.0,0,0,
0xB568,2,119,7.1,16.9,119,33,76,Transport,3.25,1.177016448323473e-05,15,1,Transport(3.25x)
0x35D7,2,208,12.4,16.8,208,52,160,Unclassified,0,1.0,0,0,
0x9CB2,2,60,3.6,16.7,60,10,47,Unclassified,0,1.0,0,0,
0x8B25,2,84,5.1,16.5,84,19,69,Unclassified,0,1.0,0,0,
0xF72C,2,85,5.1,16.5,85,16,52,Nuc acid bind,3.35,0.00243759239420163,7,1,Nuc acid bind(3.35x)
0x7DF7,2,480,29.2,16.4,480,91,292,Chromatin,3.46,0.0001434942672871349,12,1,Chromatin(3.46x)
0xE797,2,59,3.7,15.9,59,20,54,Nuc acid bind,3.83,7.118757957117074e-05,10,1,Nuc acid bind(3.83x)
0xDCBD,2,129,8.4,15.3,129,29,78,Apoptosis,7.38,0.0073915697269093745,3,1,Apoptosis(7.38x)
0x7798,2,69,4.6,15.0,69,23,54,Nuc acid bind,2.67,0.006472436658692299,8,1,Nuc acid bind(2.67x)
0x5CB2,2,84,5.6,15.0,84,20,59,Unclassified,0,1.0,0,0,
0xF5D3,2,62,4.2,14.6,62,15,48,Transcription,2.42,0.00780829824568353,8,1,Transcription(2.42x)
0x8827,2,76,5.4,14.2,76,10,41,Cell adhesion,36.68,5.7865347518281136e-05,3,1,Cell adhesion(36.68x)
0x8628,2,291,21.6,13.5,291,81,242,RNA processing,3.48,0.007076880754598957,6,4,RNA processing(3.48x); Chromatin(2.92x); Ubiquitin(2.8x); Nuc acid bind(2.18x)
0x0827,2,63,4.7,13.5,63,11,56,Unclassified,0,1.0,0,0,
0xE560,2,58,4.3,13.5,58,16,42,Unclassified,0,1.0,0,0,
0x9F7D,2,176,13.3,13.2,176,23,133,Unclassified,0,1.0,0,0,
