word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0xC71C,2,241,1.6,146.9,241,96,148,Transcription,3.28,1.3462821794256218e-21,61,1,Transcription(3.28x)
0x0410,2,332,2.9,116.4,332,122,190,Transcription,2.79,5.7882314405661045e-18,66,1,Transcription(2.79x)
0x71C7,2,325,4.5,72.4,325,117,180,Transcription,2.51,4.541877386264613e-13,57,1,Transcription(2.51x)
0xE61E,2,60,0.8,71.7,60,32,45,RNA processing,7.96,4.4066506228041256e-08,11,2,RNA processing(7.96x); Nuc acid bind(4.06x)
0xE79E,2,96,1.4,69.3,96,23,75,Unclassified,0,1.0,0,0,
0xCB2C,2,2100,33.1,63.5,2100,530,1000,Transcription,2.74,4.0794789123684e-77,282,2,Transcription(2.74x); Chromatin(1.53x)
0xC96C,2,220,3.6,61.9,220,66,137,Kinase,2.69,0.00906610260171496,8,2,Kinase(2.69x); Transcription(2.34x)
0xF56F,2,88,1.5,60.2,88,29,61,Kinase,5.35,0.0002306409009742011,7,1,Kinase(5.35x)
0xA69A,2,775,12.9,60.0,775,233,448,Transcription,2.06,9.817643800947754e-14,93,2,Transcription(2.06x); Nuc acid bind(1.77x)
0xB2CB,2,1504,25.6,58.8,1504,414,798,Transcription,2.8,2.4364729788395e-62,225,1,Transcription(2.8x)
0xF7DF,2,451,7.7,58.5,451,128,297,RNA processing,2.17,0.008805025069719403,12,3,RNA processing(2.17x); Transcription(1.89x); Nuc acid bind(1.58x)
0x34D3,2,496,10.2,48.6,496,116,305,Cell adhesion,3.42,0.0021840489664014355,8,2,Cell adhesion(3.42x); Structural(3.42x)
0x8798,2,77,1.7,46.0,77,24,49,RNA processing,7.72,4.303959944523102e-06,8,2,RNA processing(7.72x); Nuc acid bind(3.31x)
0x8B98,2,168,3.8,43.7,168,51,107,RNA processing,4.09,0.00027641033826779425,9,2,RNA processing(4.09x); Nuc acid bind(2.26x)
0xE79C,2,73,1.8,41.5,73,18,51,Unclassified,0,1.0,0,0,
0xE62E,2,126,3.3,38.4,126,49,92,RNA processing,6.15,8.444502595509661e-08,13,1,RNA processing(6.15x)
0xC5DC,2,57,1.5,37.7,57,15,28,Transcription,3.09,0.0006073146507470716,9,1,Transcription(3.09x)
0xA41A,2,105,2.9,36.4,105,31,60,Signaling,3.4,7.686222560157453e-05,12,1,Signaling(3.4x)
0x2CB2,2,2161,60.3,35.8,2161,541,1060,Transcription,2.62,4.680619676829364e-69,275,1,Transcription(2.62x)
0x0690,2,123,3.5,35.5,123,35,85,Cytoskeleton,6.2,0.001111294429969103,5,3,Cytoskeleton(6.2x); Cell adhesion(5.67x); Nuc acid bind(2.27x)
0xC72C,2,250,7.1,35.2,250,98,154,Transcription,2.63,1.384276049297627e-12,50,2,Transcription(2.63x); Kinase(2.49x)
0x1C71,2,261,7.4,35.1,261,94,165,Transcription,2.8,3.3061135932127175e-14,51,1,Transcription(2.8x)
