word_hex,word_bytes,word_ascii,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_with_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,primary_func_carrier_rate_pct,primary_func_background_rate_pct,all_significant_functions,n_significant_functions,top_families,family_concentration,top_family,all_carrier_genes
0x75D5,75 D5,u.,2,1046,175.45,6.0,1046,406,784,Unclassified,0.0,N/A,0,0.0,0.0,,0,ZNF(25); CEP(17); ALS(17); GCDH(11); SPG(10); CERT(10); RIMS(9); MCPH(8); NUP(7); CAPRIN(7),2.4,ZNF,ABCA10; ABCA6; ABCA8; ABCB8; ABCC2; ABCC4; ABCC8; ADA; ADGRA2; ADGRE3; ADGRF5; ADGRG2; ADGRL2; ADPGK; AFF1; AFTPH; AGFG2; ALG9; ALK1; ALMS1; ALS2; ANKMY1; ANKRD27; ANKS6; APC; AREL1; ARFGAP3; ARG2; ARGFX; ARHGAP11A; ARHGAP21; ARHGAP22; ARHGAP23; ARHGEF11; ARID1B; ARMC2; ASAP3; ASF2; ASXL2; ATP6AP2; ATP8B2; ATXN2L; AUTS2; AXL2; Abca6; Abca8a; Abcc9; Adgra2; Adgrg2; Adgrg4
0x596F,59 6F,Yo,2,337,45.43,7.4,337,154,259,Unclassified,0.0,N/A,0,0.0,0.0,,0,INF(15); PITRM(10); ST3GAL(6); ZNF(6); CTC(5); TNK(5); MROH(4); TMEM(4); FANCI(4); GLB1L(4),4.5,INF,ABHD1; ACD; ACE; ADAMTS4; ADGRA2; ADGRB2; ADGRD1; AKAP6; ALK; ALOXE3; ANKMY1; AP5B1; AP5Z1; ARHGAP33; ARHGEF10L; ATF6; ATF7IP; Aak1; Adam11; Adgra2; Alk; Aloxe3; Ap5z1; Arap1; Axin2; BARD1; BCOR; BIT2; BPIFB3; Bcor; CACNA2D4; CHRNA3; COL27A1; CTC1; CWC2; Cbp53E; Cramp1; Crlf2; Csf3r; DCP1B; DERL3; DNAAF5; Dcbld2; EFHC2; EHD3; ESRP2; Ehd3; Exoc3l1; FAM117B; FAM193B
0x6B6D,6B 6D,km,2,570,90.0,6.3,570,225,440,Unclassified,0.0,N/A,0,0.0,0.0,,0,GRIPAP(28); GRIA(9); NLRP(9); TANGO(8); PPFIA(8); MTHFD(6); ANKRD(5); BRD(5); MOV(4); ZNF(4),4.9,GRIPAP,ABCA3; ABCB1; ABLIM1; ABTB3; ACADVL; ACTN3; ADAMTS4; ADAT1; ADCY3; ADCY5; ADCY6; ADCY7; ADRA2C; ALG1; AMER1; ANGPTL6; ANK2; ANKDD1A; ANKHD1; ANKLE1; ANKRD17; ANKRD28; ANKRD44; ANKRD50; AP2M1; AP5B1; ARHGEF28; ARID2; ARID3A; ARMH1; ARSA; ASAH1; ASB12; ASPDH; ATP1A3; ATP4A; Abca3; Abcb1a; Abcc10; Ablim1; Acvr1c; Adamts4; Adamts8; Adat1; Adcy1; Adcy3; Adcy4; Adra2c; Ahi1; Ankdd1b
0xF62F,F6 2F,./,2,229,15.11,15.2,229,93,179,Unclassified,0.0,N/A,0,0.0,0.0,,0,LRRC37A(10); BCAS(5); TMEM(5); TGM(5); ARHGAP(5); PHRF(4); TGFB(4); SBF(4); DNMT(3); CCNB(3),4.4,LRRC37A,ADAMTS12; ADGRL1; AFF1; AHDC1; ARHGAP10; ARHGAP23; ARHGAP33; ARHGEF11; Aatf; Actl10; Ajm1; Arhgap21; Arhgap23; Arhgef17; Atg2a; Atrx; BAG6; BCAS1; BCAS4; BPIFB2; BRSK1; Baz2a; Bmp3; Brsk1; CABIN1; CASKIN1; CCDC69; CCDC86; CCNB1; CDHR2; CDK13; CFAP47; CHAMP1; CNGB1; CSF3R; CSPG4; Cebpd; Cep170b; Cluh; Cngb1; DBN1; DNMT1; Dnah12; Dzank1; EZHIP; FAM193B; FAM47A; FAM47B; Fhod1; Foxe3
0xF69E,F6 9E,..,2,114,15.18,7.5,114,59,92,Unclassified,0.0,N/A,0,0.0,0.0,,0,MIB(4); WNK(4); COL9A(4); CACNA1H(2); GNAS(2); COL4A(2); AGRN(2); CHRNB(2); MMP23B(2); TRH(2),3.5,MIB,AATK; AFG2B; AGRN; Agrn; Amer1; Arhgef25; Asb2; BCL9; BCOR; BRPF1; C8orf82; CACNA1D; CACNA1H; CASKIN1; CD300E; CHRNB2; CIT; COL16A1; COL18A1; COL4A2; COL9A1; COL9A2; Cacna1b; Cic; Col6a2; Col9a1; Corin; Ctc1; DDX23; DUX3; DUX5; Dennd2b; Dys; ENTPD8; GNAS; GPS1; HGH1; Igsf8; JAG2; KAT6A; KIF26A; KNDC1; Kat6a; Kat6b; Kmt2b; LY6G6D; LY6G6F; LY6G6F-LY6G6D; MEGF6; MIB2
0x5B9E,5B 9E,[.,2,152,24.22,6.3,152,76,134,Unclassified,0.0,N/A,0,0.0,0.0,,0,NARS(3); SYNM(3); BCL2L(3); CCHCR(3); KSR(2); FCHO(2); USP(2); MCM(2); JAK(2); TNFSF(2),2.0,NARS,AARS1; ACTN3; AFG2A; AGGF1; AICDA; ALA1; ALOX12; ARAP3; ARHGEF2; ATAD2B; AURKAIP1; Aars2; Abcg5; Afg2a; Asmt; Atxn3; B4GALNT4; BCL2L12; C10orf95; C12orf56; CACNA1A; CCDC194; CCHCR1; CCT6; CFAP263; CG32809; CHD4; Cbarp; Cc2d1a; Cc2d2a; Ccdc148; Cep131; Cgn; Ctc1; Cul7; DAB2IP; DENND2B; DKC1; DVL2; Dab2ip; Ddx17; Dis3l2; E4F1; Esrp2; Evi5; FCHO1; Foxi2; GABRR1; GIGYF2; GLS
0xE7DE,E7 DE,..,2,70,9.48,7.4,70,36,63,Unclassified,0.0,N/A,0,0.0,0.0,,0,GAS2L(3); YTHDC(2); MARVELD(2); ADAM(2); BAG(2); FIBCD(2); GTPBP(2); PRELP(1); GPRASP(1); NKAIN(1),4.3,GAS2L,ABI3BP; ADAM19; AGAP3; AHI1-DT; AKT2; Ajm1; BAG1; Bag1; C2CD4D; CACTIN-AS1; CD5; CHST13; Cdc42bpg; ELP5; ENTREP1; EXOC3L2; Emilin1; Epha10; Ezhip; FAM20A; FAM47DP; FBRS; FIBCD1; Fgfbp3; Fibcd1; GAS2L1; GAS2L2; GPRASP2; GTPBP3; Gas2l1; HES6; HYOU1; IFNLR1; KCNH4; KMT5C; Kprp; L3mbtl1; LOC114841035; MARVELD3; MBD6; MRGPRG; NHERF4; NKAIN; PCSK4; PHRF1; PLEKHM3; PRELP; PRM1; PROB1; PRSS50
0x94D1,94 D1,..,2,81,13.8,5.9,81,33,54,Unclassified,0.0,N/A,0,0.0,0.0,,0,NDUFA(14); DICER(7); PCDH(3); SLAMF(2); CHORDC(2); CDKL(2); CD(2); TMEM9B(2); IGSF(2); OR5T(2),17.3,NDUFA,Abca9; BPT1; C3; CD276; CD300LF; CDHR1; CDKL3; CG9776; CHORDC1; CSF1; Chordc1; DICER1; Dicer1; EYS; Engase; FREM3; Fam171a2; Frem2; GNPTAB; Gnptab; HSD17B7; IGSF23; Iml1; L1cam; LRRC19; NDUFA10; NEURL4; NOS2; OR5T1; OR5T3; OXCT1; PCDH9; PDE10A; PPEF1; Plxna1; Ptprb; RADX; RALGAPA1; SCN10A; SLAMF7; SLC16A9; SLC24A4; SMYD4; Slc16a9; TBCD; TMEM9B; TOPORS; Tas1r2; Tmem38b; UTP10
0xB6D9,B6 D9,..,2,270,34.43,7.8,270,99,217,Unclassified,0.0,N/A,0,0.0,0.0,,0,ACSL(7); SLC26A(6); TY1B-DR(5); HLA-G(4); CAMTA(4); GPSM(4); PGR(4); NASP(4); TBCD(3); LRP(3),2.6,ACSL,ABCA7; ACSL3; ADAMTS13; ADGRB1; ADRA1D; ALK; AMOT; ANKHD1; AP1B1; ATP1A1; ATP1A3; ATRNL1; Acsl3; Aef1; Ak9; Aox3; Armcx2; Atp1a1; BAG6; CAMTA1; CCDC17; CD209; CG43867; CHD3; CLEC4M; CNNM1; CNTFR; COG4; CT47B1; CTDP1; CTNNB1; CYBA; Camta1; Camta2; Cep131; Cog6; Coq2; Cpn; DEPDC5; DIP2C; DOP1B; DUOX1; Dgat1; Dnaaf2; Dpy19l4; Duox1; Dys; Dzip3; EIF4ENIF1; ELAC2
0x596C,59 6C,Yl,2,746,87.07,8.6,746,291,560,Unclassified,0.0,N/A,0,0.0,0.0,,0,FOXP(29); RNASEH2B(16); ADGRL(13); IFT(12); ELP(10); FERMT(9); CHD1L(7); DENND5A(7); TAF(7); ANKRD(6),3.9,FOXP,ABCA6; ABHD16A; ACAD11; ACCSL; ADGRE2; ADGRF2P; ADGRF5; ADGRL3; ADIPOR2; AGGF1; ALG5; ALS2; ALS2CL; ANAPC4; ANAPC5; ANKFY1; ANKK1; ANKRD2; ANKRD24; ANKRD44; ANKRD52; ANKRD65; ANO6; APAF1; APH1A; APL3; APL6; ARAP3; ARHGAP40; ARHGEF2; ARID1B; ARVCF; ATP11C; AXDND1; Abca6; Abcg3; Abhd16a; Acox3; Adgrl3; Adipor2; Agbl1; Als2cl; Anapc4; Ankfy1; Ankk1; Ankrd2; Ankrd52; Aox3; Ap5b1; Ap5z1
