word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0xC71C,2,81,0.6,141.5,81,44,54,Transcription,3.34,1.8623044238543712e-13,33,1,Transcription(3.34x)
0x4426,2,58,0.4,134.8,58,44,47,Transcription,4.35,3.619134421701839e-27,43,1,Transcription(4.35x)
0x0BD4,2,56,0.7,79.1,56,50,55,Transcription,4.36,4.92207018362419e-31,49,1,Transcription(4.36x)
0xCB2C,2,439,6.6,66.6,439,169,225,Chromatin,4.71,5.351929826895689e-16,38,3,Chromatin(4.71x); Transcription(2.79x); Nuc acid bind(2.23x)
0xC4DA,2,103,1.6,66.1,103,76,86,Transcription,4.27,7.866090855995379e-44,73,1,Transcription(4.27x)
0xE79E,2,153,2.7,56.7,153,70,104,RNA processing,5.89,7.479193342096456e-09,16,3,RNA processing(5.89x); Cytoskeleton(3.51x); Nuc acid bind(3.23x)
0xC72E,2,60,1.1,53.6,60,48,56,Transcription,4.45,5.66964401895435e-32,48,1,Transcription(4.45x)
0xB2CB,2,327,7.2,45.2,327,109,148,Chromatin,4.04,3.7176286926661674e-08,21,3,Chromatin(4.04x); Transcription(2.57x); Nuc acid bind(2.27x)
0xF7DF,2,776,17.8,43.6,776,317,467,RNA processing,3.17,1.488154810021043e-10,39,5,RNA processing(3.17x); Cytoskeleton(2.2x); Transcription(2.03x); Nuc acid bind(1.97x); Chromatin(1.92x)
0x71C7,2,121,2.8,42.9,121,62,76,Transcription,2.8,9.359763398637536e-12,39,2,Transcription(2.8x); Chromatin(2.7x)
0xA69A,2,430,10.3,41.8,430,201,274,Nuc acid bind,2.46,5.79115503038972e-09,46,4,Nuc acid bind(2.46x); RNA processing(2.31x); Transcription(2.19x); Chromatin(2.09x)
0x6690,2,136,3.5,38.9,136,103,122,Transcription,4.1,2.585705236538532e-52,95,1,Transcription(4.1x)
0xF56F,2,198,5.2,38.1,198,84,145,Transcription,1.75,0.00037965902699631373,33,1,Transcription(1.75x)
0xC96C,2,203,5.6,36.2,203,74,129,Cell cycle,4.66,2.0606642911318355e-05,11,1,Cell cycle(4.66x)
0x8798,2,98,3.0,32.2,98,62,73,Cell adhesion,11.29,8.028519383433963e-28,33,2,Cell adhesion(11.29x); RNA processing(4.15x)
0xF69F,2,183,6.1,29.9,183,99,145,Cell adhesion,3.0,0.00021550243941705102,14,2,Cell adhesion(3.0x); Transcription(1.53x)
0xE5DE,2,159,5.6,28.6,159,64,97,RNA processing,14.48,1.8594638259709615e-34,36,2,RNA processing(14.48x); Nuc acid bind(5.38x)
0x0B90,2,99,3.5,28.1,99,45,68,Chromatin,4.19,0.0002288712990200637,9,5,Chromatin(4.19x); Cell cycle(4.18x); RNA processing(3.43x); DNA repair(3.14x); Transcription(1.98x)
0xB6DB,2,675,24.6,27.5,675,313,440,Transcription,2.5,3.6360802743636145e-39,176,4,Transcription(2.5x); RNA processing(2.39x); Chromatin(1.87x); Nuc acid bind(1.79x)
0x0960,2,210,8.0,26.4,210,76,138,Chromatin,3.58,5.574225676711665e-05,13,2,Chromatin(3.58x); Cell cycle(3.3x)
0xF42F,2,59,2.3,26.1,59,25,41,Unclassified,0,1.0,0,0,
0x34D3,2,82,3.2,25.4,82,30,48,Cell adhesion,5.65,5.428680504392504e-05,8,1,Cell adhesion(5.65x)
0xE45C,2,74,2.9,25.2,74,53,62,Transcription,3.94,1.348963955685939e-24,47,1,Transcription(3.94x)
0x8B98,2,165,6.8,24.1,165,64,110,RNA processing,5.63,1.182467217192083e-07,14,3,RNA processing(5.63x); Cytoskeleton(3.84x); Nuc acid bind(2.86x)
0xB79B,2,59,2.5,23.7,59,36,51,Unclassified,0,1.0,0,0,
