word_hex,word_length,occurrences,expected,token_enrichment,carrier_proteins,carrier_genes_go,carrier_genes_total,primary_function,primary_func_enrichment,primary_func_p_value,primary_func_carriers_in_cat,n_significant_functions,all_significant_functions
0xCB2C,2,108,0.6,172.5,108,77,108,Transcription,3.29,1.851747736192471e-16,46,4,Transcription(3.29x); Kinase(3.15x); Signaling(2.46x); Chromatin(2.11x)
0xB2CB,2,86,0.7,129.7,86,63,86,Transcription,3.32,5.835034861825878e-14,38,2,Transcription(3.32x); Kinase(2.8x)
0x37DB,2,57,0.5,123.6,57,57,57,Proteolysis,9.05,9.44114576414219e-21,27,2,Proteolysis(9.05x); Nuc acid bind(4.73x)
0x2CB2,2,138,2.4,58.2,138,95,138,Transcription,2.84,5.712289461717993e-14,49,2,Transcription(2.84x); Kinase(2.78x)
0x0410,2,95,3.7,25.9,95,70,95,Transcription,2.67,3.938296304713181e-09,34,1,Transcription(2.67x)
0x7427,2,84,3.6,23.1,84,69,84,Proteolysis,7.48,4.483038370251381e-18,27,2,Proteolysis(7.48x); Nuc acid bind(4.05x)
0x8A28,2,140,6.4,22.0,140,86,140,Chromatin,2.9,7.924846059334905e-06,20,2,Chromatin(2.9x); Transcription(1.66x)
0x8618,2,112,6.3,17.9,112,70,112,Chromatin,3.57,2.2635139165214253e-07,20,2,Chromatin(3.57x); Transcription(2.12x)
0x75D7,2,221,12.4,17.8,221,109,221,Kinase,4.85,2.448464261390339e-11,24,3,Kinase(4.85x); Signaling(3.67x); Cell cycle(2.03x)
0x0960,2,56,3.7,15.3,56,33,56,Unclassified,0,1.0,0,0,
0xA28A,2,78,5.1,15.2,78,49,78,Chromatin,3.06,0.0003327888629917904,12,2,Chromatin(3.06x); Transcription(1.91x)
0x05D0,2,58,4.2,13.9,58,44,58,Transcription,2.63,5.919031816943382e-06,21,1,Transcription(2.63x)
0x8628,2,91,6.6,13.8,91,59,91,Chromatin,3.18,3.709519625219435e-05,15,2,Chromatin(3.18x); Transcription(1.96x)
0x75D3,2,59,4.5,13.0,59,23,59,Unclassified,0,1.0,0,0,
0x8A18,2,79,6.1,13.0,79,48,79,Chromatin,3.38,6.0823971694242644e-05,13,1,Chromatin(3.38x)
0x8825,2,50,4.3,11.5,50,30,50,Unclassified,0,1.0,0,0,
0x28A2,2,179,15.9,11.2,179,112,179,Chromatin,2.56,1.508251950262013e-05,23,2,Chromatin(2.56x); Transcription(1.62x)
0x0825,2,59,5.3,11.0,59,35,59,Cytoskeleton,6.87,0.008881859784365545,3,1,Cytoskeleton(6.87x)
0x0820,2,78,7.1,11.0,78,35,78,Nuc acid bind,1.93,0.007093823884048093,14,1,Nuc acid bind(1.93x)
0x5A94,2,86,7.9,10.9,86,85,86,Proteolysis,8.99,1.2537321787304634e-30,40,2,Proteolysis(8.99x); Nuc acid bind(4.65x)
0x5960,2,132,12.3,10.7,132,67,132,Unclassified,0,1.0,0,0,
0xDF7D,2,64,6.0,10.6,64,39,64,Cytoskeleton,8.22,0.0012313447330736902,4,3,Cytoskeleton(8.22x); Kinase(3.95x); Signaling(3.24x)
0x20B9,2,73,7.1,10.2,73,63,73,Proteolysis,8.49,1.4953285443475386e-20,28,2,Proteolysis(8.49x); Nuc acid bind(2.98x)
0xD5BD,2,70,7.0,10.1,70,36,70,Unclassified,0,1.0,0,0,
0x5968,2,90,9.1,9.9,90,55,90,Unclassified,0,1.0,0,0,
0x7935,2,60,6.2,9.7,60,52,60,Proteolysis,13.96,1.6424477484906317e-39,38,2,Proteolysis(13.96x); Nuc acid bind(3.7x)
0x6DB6,2,74,7.8,9.5,74,43,74,Unclassified,0,1.0,0,0,
