Gene_Symbol,Subcomplex,Subcomplex_Size
TBP,TFIID/TBP,14
TAF1,TFIID/TBP,14
TAF2,TFIID/TBP,14
TAF3,TFIID/TBP,14
TAF4,TFIID/TBP,14
TAF5,TFIID/TBP,14
TAF6,TFIID/TBP,14
TAF7,TFIID/TBP,14
TAF8,TFIID/TBP,14
TAF9,TFIID/TBP,14
TAF10,TFIID/TBP,14
TAF11,TFIID/TBP,14
TAF12,TFIID/TBP,14
TAF13,TFIID/TBP,14
GTF2A1,TFIIA,2
GTF2A2,TFIIA,2
GTF2B,TFIIB,1
POLR2A,RNA Pol II / TFIIF,14
POLR2B,RNA Pol II / TFIIF,14
POLR2C,RNA Pol II / TFIIF,14
POLR2D,RNA Pol II / TFIIF,14
POLR2E,RNA Pol II / TFIIF,14
POLR2F,RNA Pol II / TFIIF,14
POLR2G,RNA Pol II / TFIIF,14
POLR2H,RNA Pol II / TFIIF,14
POLR2I,RNA Pol II / TFIIF,14
POLR2J,RNA Pol II / TFIIF,14
POLR2K,RNA Pol II / TFIIF,14
POLR2L,RNA Pol II / TFIIF,14
GTF2F1,RNA Pol II / TFIIF,14
GTF2F2,RNA Pol II / TFIIF,14
GTF2E1,TFIIE,2
GTF2E2,TFIIE,2
GTF2H1,TFIIH,10
GTF2H2,TFIIH,10
GTF2H3,TFIIH,10
GTF2H4,TFIIH,10
GTF2H5,TFIIH,10
ERCC2,TFIIH,10
ERCC3,TFIIH,10
CDK7,TFIIH,10
CCNH,TFIIH,10
MNAT1,TFIIH,10
MED1,Mediator,28
MED4,Mediator,28
MED6,Mediator,28
MED7,Mediator,28
MED8,Mediator,28
MED9,Mediator,28
MED10,Mediator,28
MED11,Mediator,28
MED12,Mediator,28
MED13,Mediator,28
MED14,Mediator,28
MED15,Mediator,28
MED16,Mediator,28
MED17,Mediator,28
MED18,Mediator,28
MED19,Mediator,28
MED20,Mediator,28
MED21,Mediator,28
MED22,Mediator,28
MED23,Mediator,28
MED24,Mediator,28
MED25,Mediator,28
MED26,Mediator,28
MED27,Mediator,28
MED28,Mediator,28
MED29,Mediator,28
MED30,Mediator,28
MED31,Mediator,28
