Department,N_Genes,Mean_Chronos,Pct_Essential,Pct_Highly_Essential
Translation,282,-1.094,65.2,42.9
RNA processing,66,-0.7197,50.0,24.2
Cell cycle,172,-0.5061,35.5,20.3
Nuc acid bind,1123,-0.4989,35.4,21.0
DNA repair,366,-0.368,23.8,12.3
Protein folding,217,-0.3668,23.5,13.4
Ubiquitin,291,-0.2172,12.4,7.2
Chromatin,89,-0.2151,13.5,5.6
Methylation,176,-0.192,12.5,5.1
GTPase,408,-0.1782,9.3,5.4
Apoptosis,674,-0.1767,10.5,6.2
Cytoskeleton,246,-0.1673,11.8,5.7
Phosphatase,151,-0.1423,9.9,4.6
Structural,221,-0.137,8.1,5.9
Kinase,176,-0.1189,6.8,3.4
Transport,471,-0.112,6.2,2.8
Proteolysis,443,-0.0902,6.3,2.7
Transcription,1713,-0.0805,5.0,1.7
Ion channel,640,-0.0718,4.8,2.5
Immune,810,-0.0554,3.6,2.1
Signaling,1501,-0.0348,1.5,0.4
Cell adhesion,583,-0.0315,1.2,0.5
