position,hex,word,department,enrichment,length
5,"0xC829","0xC829","Structural",14.7,2
7,"0xBDF6","0xBDF6","Cell cycle",7.2,2
59,"0xB56C","0xB56C","Unclassified",15,2
68,"0x8108","0x8108","Cell cycle",5.4,2
113,"0x0450","0x0450","Cell cycle",15.1,2
117,"0x159D","0x159D","Cytoskeleton",5.2,2
154,"0xB560","0xB560","Cytoskeleton",16,2
337,"0xCA25","0xCA25","Cell cycle",11.2,2
360,"0x8BD8","0x8BD8","Chromatin",7.7,2
384,"0x4104","0x4104","Kinase",11,2
603,"0x4184","0x4184","Cell adhesion",6.9,2
641,"0x0BD5","0x0BD5","Transcription",5.8,2
650,"0x596C","0x596C","Unclassified",8.6,2
719,"0x4144","0x4144","Phosphatase",5.9,2
724,"0x1141","0x1141","Phosphatase",6.2,2
730,"0x4144","0x4144","Phosphatase",5.9,2
733,"0x1141","0x1141","Phosphatase",6.2,2
742,"0x0450","0x0450","Cell cycle",15.1,2
748,"0x6144","0x6144","Phosphatase",6.1,2
942,"0x596C","0x596C","Unclassified",8.6,2
944,"0x3653","0x3653","Cell adhesion",13,2
981,"0x35D1","0x35D1","Ion channel",5.3,2
1040,"0xF420","0xF420","Methylation",7.9,2
1074,"0x1620","0x1620","DNA repair",5.3,2
1258,"0x7DF7","0x7DF7","RNA processing",11.2,2
1351,"0x35D0","0x35D0","Unclassified",6,2
1398,"0x5823","0x5823","Unclassified",6.4,2
1439,"0x5820","0x5820","Cell cycle",7.1,2
1489,"0x85D8","0x85D8","Chromatin",6.8,2
1497,"0x0BD4","0x0BD4","Transcription",72.7,2
1509,"0x0610","0x0610","Cell adhesion",15.2,2
1535,"0x0825","0x0825","Chromatin",11.6,2
1552,"0x7DA7","0x7DA7","Cell adhesion",5.5,2
1672,"0x1141","0x1141","Phosphatase",6.2,2
1687,"0x7425","0x7425","Cytoskeleton",8.2,2
1748,"0x4144","0x4144","Phosphatase",5.9,2
1755,"0x1450","0x1450","Unclassified",9.1,2
1768,"0xDCAD","0xDCAD","Chromatin",7.6,2
1892,"0xD082","0xD082","Chromatin",6.9,2
1947,"0x761F","0x761F","Unclassified",6,2
1981,"0x3420","0x3420","DNA repair",9.1,2
2025,"0x4144","0x4144","Phosphatase",5.9,2
2088,"0x8174","0x8174","Transport",5.9,2
2126,"0x0811","0x0811","Unclassified",9.2,2
2200,"0x2CB2","0x2CB2","Chromatin",23.2,2
2284,"0xB653","0xB653","Unclassified",7,2
2314,"0x4428","0x4428","GTPase",6.9,2
2345,"0x2142","0x2142","Chromatin",5.8,2
2457,"0x0820","0x0820","Chromatin",19.1,2
2494,"0x75D0","0x75D0","DNA repair",6.1,2
2503,"0x945C","0x945C","Unclassified",7.4,2
2559,"0xF5D3","0xF5D3","Unclassified",7.2,2
2700,"0xCBDF","0xCBDF","Structural",6.1,2
2744,"0xF560","0xF560","Cytoskeleton",7.6,2
2756,"0x259D","0x259D","Methylation",6,2
2759,"0x1171","0x1171","Chromatin",5.8,2
2869,"0x1CB2","0x1CB2","Chromatin",8.2,2
2968,"0x772C","0x772C","Cell cycle",5.9,2
2984,"0xF56A","0xF56A","Unclassified",8.1,2
2999,"0xD37D","0xD37D","Chromatin",6.3,2
3003,"0x5451","0x5451","Unclassified",8,2
3043,"0xF69C","0xF69C","Chromatin",10,2
3085,"0xB450","0xB450","Cell cycle",9.1,2
3097,"0x0823","0x0823","Nuc acid bind",10.2,2
3114,"0x8288","0x8288","Cell cycle",7.1,2
3231,"0x659659","0x659659","Proteolysis",205.8,3
3261,"0xBDCB","0xBDCB","Chromatin",5.9,2
3295,"0xBDCB","0xBDCB","Chromatin",5.9,2
3512,"0x585C","0x585C","Transport",5.7,2
3550,"0xB62B","0xB62B","Cytoskeleton",5.9,2
3589,"0x8BDA","0x8BDA","Structural",6,2
3698,"0x8960","0x8960","Cytoskeleton",12.8,2
3766,"0x0560","0x0560","Kinase",13.8,2
3805,"0x05D1","0x05D1","Unclassified",9.2,2
3843,"0x34D3","0x34D3","Phosphatase",23.7,2
3865,"0xF5D9","0xF5D9","Transcription",7.2,2
3948,"0x0625","0x0625","Unclassified",5.8,2
3961,"0xB2C8","0xB2C8","Chromatin",8.6,2
3996,"0x5A28","0x5A28","Structural",5.5,2
4082,"0xF72F","0xF72F","Transcription",12,2
4112,"0x7987","0x7987","RNA processing",5.7,2
4123,"0xB98B","0xB98B","RNA processing",7.9,2
4172,"0x1099","0x1099","Transcription",6.2,2
4201,"0x3560","0x3560","Cytoskeleton",13.6,2
4275,"0x75D5","0x75D5","Unclassified",6,2
4283,"0xF427","0xF427","Cytoskeleton",10.6,2
4524,"0x0BDC","0x0BDC","Unclassified",7,2
4563,"0x159D","0x159D","Cytoskeleton",5.2,2
4578,"0x1410","0x1410","Transcription",8.4,2
4583,"0x8174","0x8174","Transport",5.9,2
4601,"0x10A1","0x10A1","Cell adhesion",6,2
4713,"0xB62B","0xB62B","Cytoskeleton",5.9,2
4715,"0x28A1","0x28A1","Chromatin",5.1,2
4726,"0x2962","0x2962","Structural",5.9,2
4740,"0x8174","0x8174","Transport",5.9,2
4775,"0x75D6","0x75D6","RNA processing",6.9,2
4814,"0x7621","0x7621","Unclassified",6.3,2
4817,"0x7626","0x7626","Structural",8,2
4846,"0xC560","0xC560","Transcription",16.6,2
4858,"0x1450","0x1450","Unclassified",9.1,2
4894,"0x77DC","0x77DC","Chromatin",5.4,2
5039,"0xB62B","0xB62B","Cytoskeleton",5.9,2
5041,"0x2881","0x2881","DNA repair",5.2,2
5088,"0x5D76","0x5D76","Cytoskeleton",5.4,2
5174,"0x1099","0x1099","Transcription",6.2,2
5178,"0x34D9","0x34D9","Unclassified",5.5,2
5264,"0x6698","0x6698","Transcription",6.2,2
5350,"0x68A2","0x68A2","Cytoskeleton",7.7,2
5361,"0x2942","0x2942","Chromatin",6.2,2
5445,"0x8829","0x8829","Cell cycle",10.8,2
5521,"0x3563","0x3563","Cell adhesion",21.9,2
5597,"0x94D8","0x94D8","Cell adhesion",5,2
5811,"0x7628","0x7628","Chromatin",6.6,2
5835,"0x3420","0x3420","DNA repair",9.1,2
5876,"0x2142","0x2142","Chromatin",5.8,2
5996,"0x5810","0x5810","Cell cycle",5.8,2
6017,"0x0B25","0x0B25","DNA repair",5.7,2
6026,"0x3623","0x3623","Unclassified",7.2,2
6029,"0x1171","0x1171","Chromatin",5.8,2
6223,"0x6B72","0x6B72","Unclassified",5.2,2
6234,"0x0650","0x0650","GTPase",11.5,2
6351,"0x0A21","0x0A21","DNA repair",10.3,2
6483,"0x3567","0x3567","Phosphatase",11.1,2
6508,"0xD08D","0xD08D","Cytoskeleton",6.9,2
6528,"0xB72B","0xB72B","Transcription",8.9,2
6644,"0x68A1","0x68A1","Cytoskeleton",6.1,2
6682,"0x9B6D","0x9B6D","Chromatin",6.7,2
6864,"0x7410","0x7410","Chromatin",12.8,2
6866,"0x25B2","0x25B2","Cytoskeleton",10.1,2
6897,"0x4105","0x4105","Cell adhesion",5.5,2
6915,"0x3650","0x3650","Unclassified",9.9,2
6974,"0xA450","0xA450","Transport",8.3,2
7060,"0x742F","0x742F","Unclassified",8.3,2
7114,"0xC56B","0xC56B","Transcription",16.7,2
7142,"0x5B2E","0x5B2E","Unclassified",5.4,2
7169,"0x1451","0x1451","Ion channel",6.1,2
7173,"0xF7D0","0xF7D0","Chromatin",5.2,2
7346,"0x1410","0x1410","Transcription",8.4,2
7394,"0x0411","0x0411","Unclassified",18.5,2
7398,"0xC82C","0xC82C","Cytoskeleton",7.8,2
7417,"0x3420","0x3420","DNA repair",9.1,2
7441,"0x608D","0x608D","Cell cycle",5.5,2
7605,"0x0968","0x0968","Cell cycle",16.7,2
7817,"0x0650","0x0650","GTPase",11.5,2
7910,"0x37DA","0x37DA","Chromatin",8.9,2
7933,"0x0725","0x0725","Unclassified",7.4,2
7945,"0x1F71","0x1F71","Unclassified",7,2
8024,"0x3625","0x3625","Cytoskeleton",5,2
8135,"0x056A","0x056A","Unclassified",7.7,2
8200,"0xB5D5","0xB5D5","Unclassified",5,2
8219,"0x3625","0x3625","Cytoskeleton",5,2
8330,"0x5965","0x5965","Ion channel",5,2
8424,"0xBDF6","0xBDF6","Cell cycle",7.2,2
8429,"0xF7DB","0xF7DB","Chromatin",10.3,2
8431,"0xDCBD","0xDCBD","Chromatin",10,2
8505,"0xD5BD","0xD5BD","Chromatin",9.6,2
8539,"0x6081","0x6081","Unclassified",7.3,2
8560,"0x575D","0x575D","Cytoskeleton",5,2
8642,"0x09D5","0x09D5","DNA repair",6.5,2
8665,"0x1451","0x1451","Ion channel",6.1,2
8774,"0x2F51","0x2F51","Transcription",5.5,2
8828,"0x4104","0x4104","Kinase",11,2
8834,"0x0B2C","0x0B2C","Methylation",8.1,2
8838,"0x6882","0x6882","Cell cycle",8.2,2
8890,"0xB69A","0xB69A","Transcription",5.8,2
8893,"0x0960","0x0960","Cell cycle",18.6,2
8956,"0xCA21","0xCA21","Unclassified",11,2
8990,"0x75D8","0x75D8","Chromatin",5.8,2
9061,"0x8A25","0x8A25","Cytoskeleton",10.4,2
9131,"0x565965","0x565965","Transport",37.8,3
9147,"0xF7DB","0xF7DB","Chromatin",10.3,2
