Chromosome,Role,Gene_Count,Cross_Out,Cross_In,Raw_Ratio,Normalized_Ratio,Raw_Rank,Normalized_Rank
chr19,RELAY,1472,592472,369850,1.5522,0.001054,1,12
chr16,RELAY-EFFECTOR,873,609383,415587,1.437,0.001646,2,7
chr1,RELAY-EFFECTOR,2058,1279385,880369,1.3981,0.000679,3,21
chr15,RELAY-EFFECTOR,613,531894,391266,1.3385,0.002184,4,6
chr13,RELAY-EFFECTOR,327,639807,495109,1.2626,0.003861,5,3
chr22,RELAY-EFFECTOR,488,234057,186667,1.2445,0.00255,6,4
chr2,RELAY-EFFECTOR,1309,948944,769862,1.2107,0.000925,7,16
chr20,RELAY-EFFECTOR,544,261278,215549,1.2045,0.002214,8,5
chr17,RELAY-EFFECTOR,1197,526955,438714,1.1881,0.000993,9,13
chr11,RELAY-EFFECTOR,1298,625719,526364,1.1773,0.000907,10,17
chr12,RELAY-EFFECTOR,1034,562447,494364,1.1297,0.001093,11,10
chr21,RELAY-EFFECTOR,234,184632,163576,1.1241,0.004804,12,1
chr10,RELAY-EFFECTOR,733,565188,514597,1.0928,0.001491,13,8
chr18,RELAY-EFFECTOR,270,308227,284873,1.0791,0.003997,14,2
chr14,RELAY-EFFECTOR,830,344328,328436,1.0466,0.001261,15,9
chr3,RELAY-EFFECTOR,1078,706033,694581,1.0154,0.000942,16,15
chr5,RELAY-EFFECTOR,884,559498,663257,0.8526,0.000964,17,14
chr6,RELAY-EFFECTOR,1048,560372,664922,0.8519,0.000813,18,19
chr7,RELAY-EFFECTOR,989,557105,701298,0.8063,0.000815,19,18
chr8,RELAY-EFFECTOR,677,340267,482249,0.715,0.001056,20,11
chr4,EFFECTOR,752,311596,545979,0.5846,0.000777,21,20
chr9,EFFECTOR,786,89686,511333,0.1831,0.000233,22,22
chrx,EFFECTOR,0,52742,535055,0.1047,0,23,23
chry,EFFECTOR,0,2574,120732,0.0215,0,24,24
