function_sequence,recurrence,n_funcs,n_chromosomes,chromosomes,program_count
Unclassified|Cytoskeleton|DNA repair,150,3,24,"chr1,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr2,chr20,chr21,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrx,chry",272
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin|Transcription|Chromatin,108,5,1,chr22,108
Unclassified|Cell adhesion|Chromatin|Unclassified,108,3,1,chr22,108
Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,96,5,1,chr22,96
Unclassified|Kinase|Cell cycle,76,3,22,"chr1,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr2,chr20,chr22,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chrx",131
Transcription|Cytoskeleton|Phosphatase,68,3,3,"chr14,chr15,chr22",105
Unclassified|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Cell adhesion|Chromatin|Unclassified,61,3,1,chr15,61
Cytoskeleton|RNA processing|Phosphatase|RNA processing|Phosphatase|Transcription|Ion channel|Transcription|Ion channel|Transcription,60,5,1,chr22,60
Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription|Chromatin,53,5,1,chr22,53
Unclassified|Cell adhesion|Unclassified|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation,46,4,1,chr22,46
Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,40,4,1,chr22,40
Unclassified|Cell adhesion|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Chromatin|Unclassified|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Cell cycle|Methylation|Transcription,40,6,1,chr22,40
