chromosome,start_position,end_position,length_bytes,function_sequence,n_vocab_hits,n_distinct_funcs,recurrence,density_score,boundary_drop,entry_point,matched_primitives,named_genes,dominant_function,description
chr1,2852816,2852861,46,Unclassified|Cytoskeleton|DNA repair,24,3,150,0.12,6.86,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,3859331,3859381,51,Unclassified|Cytoskeleton|DNA repair,10,3,150,0.05,50.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,6824337,6824382,46,Unclassified|Cytoskeleton|DNA repair,45,3,150,0.225,30.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,6824337,6824382,46,Unclassified|Cytoskeleton|DNA repair,45,3,150,0.225,30.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,6824337,6824382,46,Unclassified|Cytoskeleton|DNA repair,45,3,150,0.225,30.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,10048831,10048876,46,Unclassified|Cytoskeleton|DNA repair,28,3,150,0.14,2.55,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,12673915,12673961,47,Unclassified|Cytoskeleton|DNA repair,10,3,150,0.05,1.67,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,15595588,15595633,46,Unclassified|Cytoskeleton|DNA repair,47,3,150,0.235,235.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,15595588,15595633,46,Unclassified|Cytoskeleton|DNA repair,47,3,150,0.235,235.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,15595588,15595633,46,Unclassified|Cytoskeleton|DNA repair,47,3,150,0.235,235.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,15595588,15595633,46,Unclassified|Cytoskeleton|DNA repair,47,3,150,0.235,235.0,chrM:0x5B2B,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,22609718,22609758,41,Unclassified|Cytoskeleton|DNA repair,16,3,150,0.08,80.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
chr1,22609718,22609758,41,Unclassified|Cytoskeleton|DNA repair,16,3,150,0.08,80.0,chrM:0x575D,1,chr15 satellite repeat,REPEAT_ELEMENT,chr15 satellite repeat
