gene,department,upstream_tokens,upstream_pic_tokens,upstream_pic_pct,genebody_tokens,genebody_pic_tokens,genebody_pic_pct,upstream_pic_proteins
ABCB1,Transport,24,2,8.33,1053,91,8.64,Ercc3;MED16;MED23
ABL1,Kinase,26,3,11.54,992,106,10.69,ERCC3;MED23;MED25;MED9
ACTB,Cytoskeleton,33,5,15.15,209,25,11.96,GTF2A1;Gtf2a1;MED14;MED25;MED9;Med13
ADAM17,Proteolysis,24,2,8.33,394,26,6.6,MED16;MED23;MED25;MED9
AKT1,Signaling,19,0,0.0,180,10,5.56,
ARF1,GTPase,23,0,0.0,96,6,6.25,
ATM,DNA_repair,20,2,10.0,771,56,7.26,Gtf2e2;MED23
ATP1A1,Transport,35,3,8.57,201,17,8.46,MED24;MED25;MED26
BAX,Apoptosis,25,3,12.0,49,3,6.12,GTF2A1;Gtf2a1;MED14;MED25;MED9
BCL2,Apoptosis,23,3,13.04,1014,84,8.28,Gtf2a1;Gtf2h4;MED17
BID,Apoptosis,24,2,8.33,226,21,9.29,MED15;MED25;Med13
BRAF,Kinase,33,1,3.03,1060,87,8.21,MED26
BRCA1,DNA_repair,19,2,10.53,693,53,7.65,CDK7;GTF2A1;Gtf2a1;MED14
CACNA1C,Ion_channel,24,3,12.5,4170,289,6.93,MED12;MED23;MED26
CASP3,Apoptosis,33,1,3.03,119,6,5.04,TAF1
CASP8,Proteolysis,18,2,11.11,684,52,7.6,ERCC3;MED23
CCND1,Cell_cycle,20,2,10.0,79,5,6.33,Gtf2f1;MED26
CD44,Cell_adhesion,21,3,14.29,478,44,9.21,Ercc3;Med13;TAF2
CD4,Immune,24,0,0.0,209,15,7.18,
CDC20,Cell_cycle,28,4,14.29,31,1,3.23,GTF2A1;Gtf2a1;MED14;MED25;MED9
CDC42,GTPase,23,3,13.04,271,21,7.75,GTF2A1;Gtf2a1;MED14;MED15
CDH1,Cell_adhesion,33,5,15.15,579,51,8.81,Gtf2e2;MED19;MED25;MED9;Med1;Med13;POLR2B;Polr2b
CDK2,Cell_cycle,27,4,14.81,25,3,12.0,GTF2A1;Gtf2a1;MED14;MED25;MED9
CFTR,Ion_channel,35,2,5.71,2175,167,7.68,CDK7;POLR2B;Polr2b
COL1A1,Structural,31,5,16.13,151,10,6.62,GTF2A1;Gtf2a1;Gtf2h4;MED14;MED25;MED9;Med13
CTSD,Proteolysis,21,2,9.52,79,6,7.59,MED15;Med15
DDX5,RNA_processing,26,1,3.85,41,0,0.0,Med13
DNMT3A,Chromatin,33,3,9.09,666,52,7.81,GTF2A1;Gtf2a1;MED14;MED25;MED9
DOT1L,Methylation,25,5,20.0,449,41,9.13,GTF2A1;Gtf2a1;MED14;MED25;MED9
DUSP1,Phosphatase,24,2,8.33,29,2,6.9,GTF2A1;MED12;MED23;POLR2B;Polr2b
DYNC1H1,Cytoskeleton,31,2,6.45,522,29,5.56,Gtf2h1;MED12;MED15;MED23;MED30
EEF2,Translation,22,4,18.18,53,3,5.66,GTF2A1;Gtf2a1;Gtf2h1;MED14;MED15;MED23;MED25;MED9
EGFR,Kinase,33,1,3.03,1111,99,8.91,MED12;MED23
EIF2AK2,Translation,29,2,6.9,296,23,7.77,GTF2A1;Gtf2a1;MED14;MED26
EIF4E,Translation,19,1,5.26,254,21,8.27,MED25;MED9
EZH2,Chromatin,18,3,16.67,390,31,7.95,GTF2A1;MED12;MED23;MED25;MED9
FLNA,Structural,29,4,13.79,151,14,9.27,GTF2A1;Gtf2a1;MED12;MED14;MED23;MED26
FOXP2,Transcription,27,4,14.81,3056,206,6.74,Ercc3;MED15;MED19;Med15;Med19;Polr2A
HDAC1,Chromatin,37,3,8.11,253,24,9.49,Ercc2;Gtf2f1;MED15;Med15
HNRNPA1,RNA_processing,28,4,14.29,30,6,20.0,MED23;MED25;MED9
IFNG,Immune,29,1,3.45,18,2,11.11,MED12;MED23
IL6,Immune,25,3,12.0,39,1,2.56,Gtf2f1;MED15;MED25
IRF1,Transcription,20,3,15.0,383,37,9.66,GTF2A1;Gtf2a1;MED14;MED25;MED9
ITGB1,Cell_adhesion,20,2,10.0,594,45,7.58,GTF2A1;Gtf2a1;MED12;MED14;MED23
JAK2,Kinase,33,3,9.09,721,68,9.43,Med13;Med26;Polr2A
JUN,Transcription,17,2,11.76,30,2,6.67,MED25;Taf1
KCNQ1,Ion_channel,29,1,3.45,2206,184,8.34,GTF2A1;Gtf2a1;MED14
KDM5B,Chromatin,37,1,2.7,461,45,9.76,MED25;MED9
KIF5B,Cytoskeleton,29,1,3.45,238,13,5.46,MED25;MED9
KLF4,Transcription,34,4,11.76,19,1,5.26,MED17;MED23;Polr2A;TAF2
KRAS,Signaling,28,2,7.14,213,19,8.92,POLR2B;Polr2b;TAF2
KRT18,Structural,31,4,12.9,55,2,3.64,MED25;MED9;Polr2A
LMNA,Structural,26,1,3.85,412,31,7.52,MED8;Med8
MDM2,Ubiquitin,27,5,18.52,177,17,9.6,GTF2A1;Gtf2a1;MED14;MED25;MED9;Med12;Med13;TAF1;TAF5
METTL3,Methylation,17,1,5.88,60,2,3.33,TAF5
MLH1,DNA_repair,27,1,3.7,319,22,6.9,TAF12
MMP9,Proteolysis,32,1,3.12,35,3,8.57,MED8;Med8
MTOR,Translation,31,1,3.23,868,72,8.29,GTF2A1;Gtf2a1;MED14
MYC,Transcription,34,1,2.94,41,2,4.88,MED25
MYH9,Cytoskeleton,21,6,28.57,646,54,8.36,GTF2A1;Gtf2a1;MED14;MED15;MED25;MED9
NEDD4,Ubiquitin,25,2,8.0,912,55,6.03,GTF2A1;Gtf2a1;MED14;MED16;MED23
NOTCH1,Signaling,27,1,3.7,297,17,5.72,MED15;Med15
NSD1,Methylation,35,4,11.43,890,108,12.13,GTF2A1;Gtf2a1;MED14;MED25;MED9;POLR2B;Polr2b
PECAM1,Cell_adhesion,25,3,12.0,567,44,7.76,MED25;MED9
PIK3CA,Signaling,19,1,5.26,414,30,7.25,Med1
PLK1,Cell_cycle,22,4,18.18,78,5,6.41,CDK7;Gtf2e2;MED12;MED8;Med8
PPP2CA,Phosphatase,25,3,12.0,158,10,6.33,GTF2A1;Gtf2a1;MED14;MED25;MED9
PRMT1,Methylation,27,3,11.11,75,7,9.33,GTF2A1;Gtf2a1;MED14;MED19;Med1
PRPF8,RNA_processing,24,6,25.0,229,20,8.73,GTF2A1;Gtf2a1;MED14;MED15;MED25;MED9
PTEN,Phosphatase,22,6,27.27,565,35,6.19,Gtf2h1;MED15;MED25;MED30;Med1;Med13
PTPN11,Phosphatase,38,4,10.53,558,58,10.39,GTF2A1;Gtf2a1;MED14;MED15;MED25;MED9
PTPRC,Phosphatase,25,1,4.0,624,39,6.25,Med12;Polr2A
RAB7A,GTPase,27,4,14.81,725,68,9.38,GTF2A1;Gtf2a1;MED12;MED14;MED19;MED23;MED25;MED30;MED9;Med1
RAC1,GTPase,21,6,28.57,177,14,7.91,GTF2A1;Gtf2a1;MED14;MED15;MED25;MED9;Med13
RAD51,DNA_repair,25,4,16.0,183,18,9.84,GTF2A1;Gtf2a1;MED14;MED25;MED9;Polr2B
RB1,Cell_cycle,21,1,4.76,1429,99,6.93,Med26
RHOA,GTPase,35,8,22.86,291,40,13.75,GTF2A1;Gtf2a1;MED12;MED14;MED15;MED23;MED25;MED9;TAF2
RNF2,Ubiquitin,19,1,5.26,311,17,5.47,MED8;Med8
RPS6,Translation,23,1,4.35,27,2,7.41,MED25;MED9
SCN5A,Ion_channel,24,2,8.33,615,54,8.78,Ercc3;MED25
SETD2,Methylation,29,3,10.34,816,68,8.33,GTF2A1;Gtf2a1;MED14;MED25;MED9
SF3B1,RNA_processing,23,1,4.35,239,17,7.11,MED25;MED9
SLC12A2,Transport,29,4,13.79,469,29,6.18,ERCC3;Gtf2h1;MED15;MED23;Taf3
SLC2A1,Transport,34,2,5.88,184,17,9.24,Polr2A;Taf2
SLC6A3,Transport,24,3,12.5,279,23,8.24,Gtf2h4;MED15;MED8;Med15;Med8
SMARCA4,Chromatin,28,6,21.43,703,73,10.38,GTF2A1;Gtf2a1;MED1;MED14;MED23;MED25;MED9
SRC,Kinase,23,2,8.7,324,22,6.79,Gtf2a1;Med12
SRSF1,RNA_processing,21,2,9.52,38,3,7.89,GTF2A1;MED12;MED23;MED25;MED9
TLR4,Immune,16,1,6.25,116,13,11.21,Taf2
TNF,Immune,38,5,13.16,16,1,6.25,GTF2A1;Gtf2a1;MED12;MED14;MED19;MED23;Med1;TAF2
TRIM28,Ubiquitin,28,1,3.57,59,7,11.86,MED25;MED9
TRPV1,Ion_channel,35,3,8.57,281,21,7.47,GTF2A1;Gtf2h1;MED12;MED15;MED23;MED25;MED9
TUBB,Cytoskeleton,28,3,10.71,27,0,0.0,MED25;MED9;Med13
UBE2I,Ubiquitin,28,2,7.14,210,18,8.57,MED23;MED8;Med8
USP7,Proteolysis,30,3,10.0,416,48,11.54,Gtf2h4;MED25;MED9
VCAM1,Cell_adhesion,19,2,10.53,103,5,4.85,MED12;Med16;TAF1;TAF5
VIM,Structural,28,2,7.14,42,6,14.29,MED24;MED26
WNT3A,Signaling,28,2,7.14,328,31,9.45,MED15;MED25;MED9;Med15
XIAP,Apoptosis,39,2,5.13,275,27,9.82,MED25;MED9
XRCC1,DNA_repair,24,0,0.0,242,19,7.85,
