gene,chromosome,gene_start,gene_end,strand,gene_length_bp,upstream_bp,total_region_bp,ensembl_id
ABCB1,chr7,87503017,87713375,-,210359,5000,215359,ENSG00000085563
ABL1,chr9,130713043,130887675,+,174633,5000,179633,ENSG00000097007
ACTB,chr7,5526409,5563902,-,37494,5000,42494,ENSG00000075624
ADAM17,chr2,9488486,9556732,-,68247,5000,73247,ENSG00000151694
AKT1,chr14,104769348,104799934,-,30587,5000,35587,ENSG00000142208
ARF1,chr1,228081841,228099212,+,17372,5000,22372,ENSG00000143761
ATM,chr11,108222804,108369102,+,146299,5000,151299,ENSG00000149311
ATP1A1,chr1,116372668,116410261,+,37594,5000,42594,ENSG00000163399
BAX,chr19,48954815,48961798,+,6984,5000,11984,ENSG00000087088
BCL2,chr18,63123346,63320128,-,196783,5000,201783,ENSG00000171791
BID,chr22,17734138,17774770,-,40633,5000,45633,ENSG00000015475
BRAF,chr7,140719327,140924976,-,205650,5000,210650,ENSG00000157764
BRCA1,chr17,43044292,43170245,-,125954,5000,130954,ENSG00000012048
CACNA1C,chr12,1970772,2697950,+,727179,5000,732179,ENSG00000151067
CASP3,chr4,184627695,184650418,-,22724,5000,27724,ENSG00000164305
CASP8,chr2,201233443,201361836,+,128394,5000,133394,ENSG00000064012
CCND1,chr11,69641143,69654474,+,13332,5000,18332,ENSG00000110092
CD44,chr11,35138882,35232402,+,93521,5000,98521,ENSG00000026508
CD4,chr12,6786858,6820807,+,33950,5000,38950,ENSG00000010610
CDC20,chr1,43358928,43363207,+,4280,5000,9280,ENSG00000117399
CDC42,chr1,22052627,22101360,+,48734,5000,53734,ENSG00000070831
CDH1,chr16,68737292,68835540,+,98249,5000,103249,ENSG00000039068
CDK2,chr12,55966781,55972789,+,6009,5000,11009,ENSG00000123374
CFTR,chr7,117287120,117715971,+,428852,5000,433852,ENSG00000001626
COL1A1,chr17,50184101,50201634,-,17534,5000,22534,ENSG00000108821
CTSD,chr11,1752752,1764573,-,11822,5000,16822,ENSG00000117984
DDX5,chr17,64498254,64508199,-,9946,5000,14946,ENSG00000108654
DNMT3A,chr2,25227855,25342590,-,114736,5000,119736,ENSG00000119772
DOT1L,chr19,2163933,2232578,+,68646,5000,73646,ENSG00000104885
DUSP1,chr5,172766992,172771198,-,4207,5000,9207,ENSG00000120129
DYNC1H1,chr14,101964573,102056443,+,91871,5000,96871,ENSG00000197102
EEF2,chr19,3976044,3985479,-,9436,5000,14436,ENSG00000167658
