entry_point,hop_depth,source_chromosome,source_position,pattern_id,pattern_function,target_chromosome,target_position
chrM:0x37DC,1,chr14,3228,22406908,Cell adhesion,chr14,2861
chrM:0x37DC,1,chr14,3248,22406908,Cell adhesion,chr14,2861
chrM:0x37DC,1,chr14,3248,22405276,Cell adhesion,chr14,2864
chrM:0x37DC,1,chr14,3228,22405276,Cell adhesion,chr14,2864
chrM:0x37DC,1,chr14,3248,22406910,Cell adhesion,chr14,2869
chrM:0x37DC,1,chr14,3228,22406910,Cell adhesion,chr14,2869
chrM:0x37DC,1,chr14,3228,22405277,Cell adhesion,chr14,2872
chrM:0x37DC,1,chr14,3248,22405277,Cell adhesion,chr14,2872
chrM:0x37DC,1,chr14,3248,22406913,Cell adhesion,chr14,2877
chrM:0x37DC,1,chr14,3228,22406913,Cell adhesion,chr14,2877
chrM:0x37DC,1,chr14,3228,22405279,Cell adhesion,chr14,2880
chrM:0x37DC,1,chr14,3248,22405279,Cell adhesion,chr14,2880
chrM:0x37DC,1,chr14,3228,22406915,Cell adhesion,chr14,2885
chrM:0x37DC,1,chr14,3248,22406915,Cell adhesion,chr14,2885
chrM:0x37DC,1,chr14,3228,2568932,Cell adhesion,chr14,2887
chrM:0x37DC,1,chr14,3248,2568932,Cell adhesion,chr14,2887
chrM:0x37DC,1,chr14,3228,22357951,Cell adhesion,chr14,2888
chrM:0x37DC,1,chr14,3228,22405280,Cell adhesion,chr14,2888
chrM:0x37DC,1,chr14,3248,22357951,Cell adhesion,chr14,2888
chrM:0x37DC,1,chr14,3248,22405280,Cell adhesion,chr14,2888
chrM:0x37DC,1,chr14,3248,22359826,Cell adhesion,chr14,2893
chrM:0x37DC,1,chr14,3228,22359826,Cell adhesion,chr14,2893
chrM:0x37DC,1,chr14,3228,22405282,Cell adhesion,chr14,2896
chrM:0x37DC,1,chr14,3248,22405282,Cell adhesion,chr14,2896
chrM:0x37DC,1,chr14,3248,22357952,Cell adhesion,chr14,2896
chrM:0x37DC,1,chr14,3228,22357952,Cell adhesion,chr14,2896
chrM:0x37DC,1,chr14,3228,22359827,Cell adhesion,chr14,2901
chrM:0x37DC,1,chr14,3248,22359827,Cell adhesion,chr14,2901
chrM:0x37DC,1,chr14,3228,22357954,Cell adhesion,chr14,2904
chrM:0x37DC,1,chr14,3248,22357954,Cell adhesion,chr14,2904
chrM:0x37DC,1,chr14,3228,22405284,Cell adhesion,chr14,2904
chrM:0x37DC,1,chr14,3248,22405284,Cell adhesion,chr14,2904
chrM:0x37DC,1,chr14,3228,22359829,Cell adhesion,chr14,2909
chrM:0x37DC,1,chr14,3248,22359829,Cell adhesion,chr14,2909
chrM:0x37DC,1,chr14,3228,2523362,Cell adhesion,chr14,2911
chrM:0x37DC,1,chr14,3248,2523362,Cell adhesion,chr14,2911
chrM:0x37DC,1,chr14,3228,22405285,Cell adhesion,chr14,2912
chrM:0x37DC,1,chr14,3248,22277467,Cell adhesion,chr14,2912
chrM:0x37DC,1,chr14,3228,22277467,Cell adhesion,chr14,2912
chrM:0x37DC,1,chr14,3248,22357959,Cell adhesion,chr14,2912
chrM:0x37DC,1,chr14,3228,22357959,Cell adhesion,chr14,2912
chrM:0x37DC,1,chr14,3248,22405285,Cell adhesion,chr14,2912
chrM:0x37DC,1,chr14,3228,22281216,Cell adhesion,chr14,2913
