chromosome,role,out_h1,in_h1,out_h2,in_h2,cross_out,cross_in,ratio,unique_primitives,top_primitives
chr19,RELAY,0,395,625778,403156,592472,369850,1.5522,50,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Cell cycle|Chromatin|RNA proce(17x)
chr1,RELAY-EFFECTOR,0,848,1401288,1002272,1279385,880369,1.3981,78,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Chromatin|Cytoske(25x)
chr2,RELAY-EFFECTOR,0,708,1028890,849808,948944,769862,1.2107,70,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Chromatin|Cytoske(25x)
chr3,RELAY-EFFECTOR,0,598,756995,745543,706033,694581,1.0154,54,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Chromatin|Cytoske(25x)
chr13,RELAY-EFFECTOR,0,395,695696,550998,639807,495109,1.2626,18,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|RNA processing|Ce(11x)
chr11,RELAY-EFFECTOR,0,417,659753,560398,625719,526364,1.1773,45,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Transcription|Chromatin|RNA pr(18x)
chr16,RELAY-EFFECTOR,0,347,637245,443449,609383,415587,1.437,40,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Chromatin|Cytoske(16x)
chr6,RELAY-EFFECTOR,0,559,601186,705736,560372,664922,0.8519,49,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Chromatin|Cytoske(25x)
chr5,RELAY-EFFECTOR,0,517,600259,704018,559498,663257,0.8526,55,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Chromatin|Cytoske(25x)
chr7,RELAY-EFFECTOR,0,510,600091,744284,557105,701298,0.8063,48,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Transcription|Chromatin|RNA pr(18x)
chr10,RELAY-EFFECTOR,0,363,595551,544960,565188,514597,1.0928,40,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Chromatin|Cytoske(25x)
chr12,RELAY-EFFECTOR,1922,422,592990,524907,562447,494364,1.1297,33,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Cell cycle|Chromatin|RNA proce(17x)
chr17,RELAY-EFFECTOR,0,427,557310,469069,526955,438714,1.1881,51,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Transcription|Chromatin|RNA pr(18x)
chr15,RELAY-EFFECTOR,0,1406,556081,415453,531894,391266,1.3385,37,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Transcription|Cytoskeleton|Pho(68x)
chr14,RELAY-EFFECTOR,33445,26299,356936,341044,344328,328436,1.0466,130,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Transcription|Cytoskeleton|Pho(68x)
chr8,RELAY-EFFECTOR,0,345,356225,498207,340267,482249,0.715,28,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Chromatin|Cytoske(25x)
chr18,RELAY-EFFECTOR,0,189,318591,295237,308227,284873,1.0791,14,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Cell cycle|Chromatin|RNA proce(17x)
chr20,RELAY-EFFECTOR,0,222,269294,223565,261278,215549,1.2045,30,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Cell cycle|Cytosk(15x)
chr22,RELAY-EFFECTOR,138,5856,241191,193801,234057,186667,1.2445,61,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Cell cycle|Methyl(108x) | Unclassified|Cell adhesion|Chr(108x)
chr21,RELAY-EFFECTOR,0,723,190745,169689,184632,163576,1.1241,29,Unclassified|Cytoskeleton|DNA (150x) | Transcription|Cytoskeleton|Pho(33x) | Cell cycle|Chromatin|Transcrip(20x)
chr4,EFFECTOR,4164,542,329919,564302,311596,545979,0.5846,44,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Chromatin|Cytoske(16x)
chr9,EFFECTOR,0,409,94494,516141,89686,511333,0.1831,45,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Chromatin|Cytoske(25x)
chrx,EFFECTOR,3329,607,56423,538736,52742,535055,0.1047,37,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Kinase|Cell cycle(76x) | Unclassified|Chromatin|Cytoske(25x)
chry,EFFECTOR,556,450,2601,120759,2574,120732,0.0215,2,Unclassified|Cytoskeleton|DNA (150x) | Unclassified|Protein folding|D(1x)
