Gene,Department,Upstream_Tokens,Upstream_PIC_Tokens,Upstream_PIC_Pct,GeneBody_Tokens,GeneBody_PIC_Tokens,GeneBody_PIC_Pct
BAX,Apoptosis,25,3,12.0,49,3,6.1
BCL2,Apoptosis,23,3,13.0,1014,84,8.3
BID,Apoptosis,24,2,8.3,226,21,9.3
CASP3,Apoptosis,33,1,3.0,119,6,5.0
XIAP,Apoptosis,39,2,5.1,275,27,9.8
CD44,Cell_adhesion,21,3,14.3,478,44,9.2
CDH1,Cell_adhesion,33,5,15.2,579,51,8.8
ITGB1,Cell_adhesion,20,2,10.0,594,45,7.6
PECAM1,Cell_adhesion,25,3,12.0,567,44,7.8
VCAM1,Cell_adhesion,19,2,10.5,103,5,4.9
CCND1,Cell_cycle,20,2,10.0,79,5,6.3
CDC20,Cell_cycle,28,4,14.3,31,1,3.2
CDK2,Cell_cycle,27,4,14.8,25,3,12.0
PLK1,Cell_cycle,22,4,18.2,78,5,6.4
RB1,Cell_cycle,21,1,4.8,1429,99,6.9
DNMT3A,Chromatin,33,3,9.1,666,52,7.8
EZH2,Chromatin,18,3,16.7,390,31,7.9
HDAC1,Chromatin,37,3,8.1,253,24,9.5
KDM5B,Chromatin,37,1,2.7,461,45,9.8
SMARCA4,Chromatin,28,6,21.4,703,73,10.4
ACTB,Cytoskeleton,33,5,15.2,209,25,12.0
DYNC1H1,Cytoskeleton,31,2,6.5,522,29,5.6
KIF5B,Cytoskeleton,29,1,3.4,238,13,5.5
MYH9,Cytoskeleton,21,6,28.6,646,54,8.4
TUBB,Cytoskeleton,28,3,10.7,27,0,0.0
ATM,DNA_repair,20,2,10.0,771,56,7.3
BRCA1,DNA_repair,19,2,10.5,693,53,7.6
MLH1,DNA_repair,27,1,3.7,319,22,6.9
RAD51,DNA_repair,25,4,16.0,183,18,9.8
XRCC1,DNA_repair,24,0,0.0,242,19,7.9
ARF1,GTPase,23,0,0.0,96,6,6.2
CDC42,GTPase,23,3,13.0,271,21,7.7
RAB7A,GTPase,27,4,14.8,725,68,9.4
RAC1,GTPase,21,6,28.6,177,14,7.9
RHOA,GTPase,35,8,22.9,291,40,13.7
CD4,Immune,24,0,0.0,209,15,7.2
IFNG,Immune,29,1,3.4,18,2,11.1
IL6,Immune,25,3,12.0,39,1,2.6
TLR4,Immune,16,1,6.2,116,13,11.2
TNF,Immune,38,5,13.2,16,1,6.2
CACNA1C,Ion_channel,24,3,12.5,4170,289,6.9
CFTR,Ion_channel,35,2,5.7,2175,167,7.7
