rank,function_sequence,recurrence,n_chromosomes,example_position,blastn_hit,ensembl_genes,ensembl_biotypes,ensembl_regulatory,ensembl_repeats,final_classification,notes,dna_length,blastx_hit,ucsc_genes,jaspar_tfs
1,Unclassified|Cytoskeleton|DNA repair,150,24,chr1:61119-61163,chr15 satellite repeat,ENSG00000290826,lncRNA,,,REPEAT_ELEMENT,chr15 satellite repeat,160,,,
2,Unclassified|Cell adhesion|Chromatin|Unclassified,108,1,chr22:28844-28921,satellite ACRO centromeric,,,,,REPEAT_ELEMENT,satellite ACRO centromeric,288,,,
3,Unclassified|Kinase|Cell cycle,76,22,chr1:316623-316638,GNB1 G-protein beta-1,ENSG00000292994,lncRNA,,dust,NAMED_GENE,GNB1 G-protein beta-1,48,,,
4,Transcription|Cytoskeleton|Phosphatase,68,3,chr14:1853-1911,LOC124908428 extensin-like mRNA,,,,,NAMED_GENE,LOC124908428 extensin-like mRNA,236,,,
5,Unclassified|Chromatin|Cytoskeleton,25,10,chr1:272185-272317,,ENSG00000292994|ENSG00000286448,lncRNA,,L1ME4a|(CAA)n,REGULATORY,lncRNA: ENSG00000292994,116,,,
6,Transcription|Chromatin|RNA processing,18,9,chr1:431861-431898,LOC129929180 active regulatory region,ENSG00000290385,lncRNA,,L1P4|AluSq2,REGULATORY,LOC129929180 active regulatory region,92,,,
7,RNA processing|Phosphatase|RNA processing|Phosphatase|Transcription|Ion channel|Transcription|Ion channel|Transcription,18,1,chr22:53591-53682,,,,,,TRULY_UNKNOWN,No features in Ensembl GRCh38,368,P83214|HSP1_OCTVU|e=1.6e-03,,"ETS1×4, RUNX3×4, MAFB×2"
8,Unclassified|Kinase|Cytoskeleton,17,13,chr1:395053-395090,PRKCZ Protein Kinase C zeta,ENSG00000290385,lncRNA,,,NAMED_GENE,PRKCZ Protein Kinase C zeta,144,,,
9,RNA processing|Unclassified|Cell cycle,15,10,chr1:610580-610677,Pan troglodytes chr1 conserved,ENSG00000293331|LINC00115,lncRNA,CTCF_binding_site|open_chromatin_region,trf,CONSERVED,Pan troglodytes chr1 conserved,60,,,
10,Unclassified|Cell cycle|Cytoskeleton,15,14,chr1:105685-105721,LNC_000252 lncRNA,ENSG00000241860|ENSG00000308314,lncRNA,,L1ME4a,REGULATORY,LNC_000252 lncRNA,128,,,
11,Unclassified|Chromatin|DNA repair,14,5,chr1:1633188-1633226,CAMTA1 calmodulin transcription activator,MMP23B,protein_coding,,GC_rich|dust,NAMED_GENE,CAMTA1 calmodulin transcription activator,128,,,
12,Chromatin|Unclassified|Cytoskeleton,12,8,chr14:388937-389031,Eukaryotic synthetic chr21,,,,,NAMED_GENE,CI085_HUMAN (e=1.8e-10) [blastx:CI085_HUMAN],188,Q96MD7|CI085_HUMAN|e=1.8e-10,,
13,Cell cycle|Chromatin|Structural,11,8,chr10:493832-493941,chr10 clone RP11-358N3,DIP2C,protein_coding,,,NAMED_GENE,DIP2C locus [blastx:TEKT4_XENLA],136,Q5PPV2|TEKT4_XENLA|e=1.6e+00,NM_014974 (DIP2C),
14,Unclassified|RNA processing|Cell cycle,11,10,chr1:323587-323624,GNB1 second hit,ENSG00000292994,lncRNA,,dust,NAMED_GENE,GNB1 second hit,120,,,
