gene,department,char_offset,seq_length,upstream_byte_cutoff
ABCB1,Transport,0,215359,1250
ABL1,Kinase,215459,179633,1250
ACTB,Cytoskeleton,395192,42494,1250
ADAM17,Proteolysis,437786,73247,1250
AKT1,Signaling,511133,35587,1250
ARF1,GTPase,546820,22372,1250
ATM,DNA_repair,569292,151299,1250
ATP1A1,Transport,720691,42594,1250
BAX,Apoptosis,763385,11984,1250
BCL2,Apoptosis,775469,201783,1250
BID,Apoptosis,977352,45633,1250
BRAF,Kinase,1023085,210650,1250
BRCA1,DNA_repair,1233835,130954,1250
CACNA1C,Ion_channel,1364889,732179,1250
CASP3,Apoptosis,2097168,27724,1250
CASP8,Proteolysis,2124992,133394,1250
CCND1,Cell_cycle,2258486,18332,1250
CD44,Cell_adhesion,2276918,98521,1250
CD4,Immune,2375539,38950,1250
CDC20,Cell_cycle,2414589,9280,1250
CDC42,GTPase,2423969,53734,1250
CDH1,Cell_adhesion,2477803,103249,1250
CDK2,Cell_cycle,2581152,11009,1250
CFTR,Ion_channel,2592261,433852,1250
COL1A1,Structural,3026213,22534,1250
CTSD,Proteolysis,3048847,16822,1250
DDX5,RNA_processing,3065769,14946,1250
DNMT3A,Chromatin,3080815,119736,1250
DOT1L,Methylation,3200651,73646,1250
DUSP1,Phosphatase,3274397,9207,1250
DYNC1H1,Cytoskeleton,3283704,96871,1250
EEF2,Translation,3380675,14436,1250
EGFR,Kinase,3395211,197809,1250
EIF2AK2,Translation,3593120,63479,1250
EIF4E,Translation,3656699,55390,1250
EZH2,Chromatin,3712189,82074,1250
FLNA,Structural,3794363,31115,1250
FOXP2,Transcription,3825578,612456,1250
HDAC1,Chromatin,4438134,46715,1250
HNRNPA1,RNA_processing,4484949,11896,1250
IFNG,Immune,4496945,9973,1250
IL6,Immune,4507018,11119,1250
IRF1,Transcription,4518237,73280,1250
ITGB1,Cell_adhesion,4591617,123520,1250
JAK2,Kinase,4715237,150559,1250
JUN,Transcription,4865896,12204,1250
KCNQ1,Ion_channel,4878200,409452,1250
KDM5B,Chromatin,5287752,88993,1250
KIF5B,Cytoskeleton,5376845,52441,1250
KLF4,Transcription,5429386,10631,1250
KRAS,Signaling,5440117,50691,1250
KRT18,Structural,5490908,12224,1250
LMNA,Structural,5503232,62510,1250
MDM2,Ubiquitin,5565842,42370,1250
METTL3,Methylation,5608312,18235,1250
MLH1,DNA_repair,5626647,62671,1250
MMP9,Proteolysis,5689418,12654,1250
MTOR,Translation,5702172,161026,1250
MYC,Transcription,5863298,12518,1250
MYH9,Cytoskeleton,5875916,111732,1250
NEDD4,Ubiquitin,5987748,171744,1250
NOTCH1,Signaling,6159592,56616,1250
NSD1,Methylation,6216308,173427,1250
PECAM1,Cell_adhesion,6389835,99362,1250
PIK3CA,Signaling,6489297,96980,1250
PLK1,Cell_cycle,6586377,17712,1250
PPP2CA,Phosphatase,6604189,37106,1250
PRMT1,Methylation,6641395,18244,1250
PRPF8,RNA_processing,6659739,39253,1250
PTEN,Phosphatase,6699092,114293,1250
PTPN11,Phosphatase,6813485,96568,1250
PTPRC,Phosphatase,6910153,134447,1250
RAB7A,GTPase,7044700,137274,1250
RAC1,GTPase,7182074,34901,1250
RAD51,DNA_repair,7217075,42571,1250
RB1,Cell_cycle,7259746,300702,1250
RHOA,GTPase,7560548,58863,1250
RNF2,Ubiquitin,7619511,62739,1250
RPS6,Translation,7682350,9568,1250
SCN5A,Ion_channel,7692018,106687,1250
SETD2,Methylation,7798805,152686,1250
SF3B1,RNA_processing,7951591,51565,1250
SLC12A2,Transport,8003256,110964,1250
SLC2A1,Transport,8114320,38541,1250
SLC6A3,Transport,8152961,57721,1250
SMARCA4,Chromatin,8210782,123603,1250
SRC,Kinase,8334485,66378,1250
SRSF1,RNA_processing,8400963,11428,1250
TLR4,Immune,8412491,25561,1250
TNF,Immune,8438152,7772,1250
TRIM28,Ubiquitin,8446024,12034,1250
TRPV1,Ion_channel,8458158,48968,1250
TUBB,Cytoskeleton,8507226,13104,1250
UBE2I,Ubiquitin,8520430,40662,1250
USP7,Proteolysis,8561192,88232,1250
VCAM1,Cell_adhesion,8649524,24362,1250
VIM,Structural,8673986,14353,1250
WNT3A,Signaling,8688439,59348,1250
XIAP,Apoptosis,8747887,59280,1250
XRCC1,DNA_repair,8807267,42168,1250
