source_chromosome,target_chromosome,edge_count
chr1,chr10,61641
chr1,chr11,65925
chr1,chr12,62712
chr1,chr13,52839
chr1,chr14,43230
chr1,chr15,45837
chr1,chr16,48648
chr1,chr17,52723
chr1,chr18,31443
chr1,chr19,44863
chr1,chr2,100799
chr1,chr20,27235
chr1,chr21,16521
chr1,chr22,21885
chr1,chr3,87746
chr1,chr4,74006
chr1,chr5,80271
chr1,chr6,82324
chr1,chr7,82176
chr1,chr8,59175
chr1,chr9,59129
chr1,chrx,66634
chr1,chry,11623
chr10,chr1,48124
chr10,chr11,28218
chr10,chr12,24834
chr10,chr13,26643
chr10,chr14,15241
chr10,chr15,20038
chr10,chr16,22521
chr10,chr17,22074
chr10,chr18,15140
chr10,chr19,18370
chr10,chr2,40920
chr10,chr20,10328
chr10,chr21,7784
chr10,chr22,8855
chr10,chr3,35767
chr10,chr4,26830
chr10,chr5,35086
chr10,chr6,35711
chr10,chr7,38588
chr10,chr8,24564
chr10,chr9,26001
chr10,chrx,27022
chr10,chry,6529
chr11,chr1,54156
chr11,chr10,29233
chr11,chr12,27767
chr11,chr13,27412
chr11,chr14,18929
chr11,chr15,21921
chr11,chr16,23247
chr11,chr17,24338
chr11,chr18,15323
chr11,chr19,21800
chr11,chr2,47137
chr11,chr20,12198
chr11,chr21,8215
chr11,chr22,11134
chr11,chr3,40917
chr11,chr4,31556
chr11,chr5,39268
chr11,chr6,38060
chr11,chr7,40559
chr11,chr8,27880
chr11,chr9,28529
chr11,chrx,29482
chr11,chry,6658
chr12,chr1,51080
chr12,chr10,26038
chr12,chr11,25281
chr12,chr13,23408
chr12,chr14,17245
chr12,chr15,19371
chr12,chr16,22308
chr12,chr17,26449
chr12,chr18,13715
chr12,chr19,22817
chr12,chr2,40993
chr12,chr20,12166
chr12,chr21,7615
chr12,chr22,10366
chr12,chr3,36756
chr12,chr4,27228
chr12,chr5,31999
chr12,chr6,33131
chr12,chr7,35939
chr12,chr8,24259
chr12,chr9,25297
chr12,chrx,25739
chr12,chry,5078
chr13,chr1,52570
chr13,chr10,29135
chr13,chr11,31597
chr13,chr12,27428
chr13,chr14,17847
chr13,chr15,28753
chr13,chr16,25254
chr13,chr17,24193
chr13,chr18,16459
chr13,chr19,20194
chr13,chr2,45578
chr13,chr20,10536
chr13,chr21,16461
chr13,chr22,9478
chr13,chr3,41537
chr13,chr4,30040
chr13,chr5,39065
chr13,chr6,40229
chr13,chr7,41733
chr13,chr8,28131
chr13,chr9,28502
chr13,chrx,26945
chr13,chry,8142
chr14,chr1,30336
chr14,chr10,15701
chr14,chr11,15639
chr14,chr12,15819
chr14,chr13,14863
chr14,chr15,13101
chr14,chr16,12985
chr14,chr17,15282
chr14,chr18,8636
chr14,chr19,12422
chr14,chr2,25393
chr14,chr20,7082
chr14,chr21,5426
chr14,chr22,12076
chr14,chr3,21823
chr14,chr4,16453
chr14,chr5,19639
chr14,chr6,19598
chr14,chr7,21218
chr14,chr8,14490
chr14,chr9,15100
chr14,chrx,15500
chr14,chry,3152
chr15,chr1,45386
chr15,chr10,23958
chr15,chr11,24765
chr15,chr12,23674
chr15,chr13,28242
chr15,chr14,14663
chr15,chr16,19531
chr15,chr17,22401
chr15,chr18,13019
chr15,chr19,19724
chr15,chr2,39147
chr15,chr20,10070
chr15,chr21,9763
chr15,chr22,9572
chr15,chr3,33634
chr15,chr4,24038
chr15,chr5,31726
chr15,chr6,30317
chr15,chr7,32893
chr15,chr8,23391
chr15,chr9,22956
chr15,chrx,23885
chr15,chry,5139
chr16,chr1,52204
chr16,chr10,28804
chr16,chr11,28885
chr16,chr12,28394
chr16,chr13,27652
chr16,chr14,17272
chr16,chr15,21468
chr16,chr17,25507
chr16,chr18,15984
chr16,chr19,21295
chr16,chr2,43906
chr16,chr20,11345
chr16,chr21,8284
chr16,chr22,10147
chr16,chr3,38729
chr16,chr4,28888
chr16,chr5,35998
chr16,chr6,37003
chr16,chr7,39211
chr16,chr8,26135
chr16,chr9,27545
chr16,chrx,28133
chr16,chry,6594
chr17,chr1,47648
chr17,chr10,25508
chr17,chr11,23526
chr17,chr12,26212
chr17,chr13,18018
chr17,chr14,17065
chr17,chr15,17950
chr17,chr16,21535
chr17,chr18,11627
chr17,chr19,23691
chr17,chr2,39981
chr17,chr20,12484
chr17,chr21,6925
chr17,chr22,10760
chr17,chr3,33173
chr17,chr4,25171
chr17,chr5,28841
chr17,chr6,29491
chr17,chr7,33128
chr17,chr8,22187
chr17,chr9,23468
chr17,chrx,24810
chr17,chry,3756
chr18,chr1,24916
chr18,chr10,14879
chr18,chr11,16009
chr18,chr12,12905
chr18,chr13,15236
chr18,chr14,7956
chr18,chr15,10723
chr18,chr16,12039
chr18,chr17,10614
chr18,chr19,8916
chr18,chr2,20958
chr18,chr20,4760
chr18,chr21,3979
chr18,chr22,4256
chr18,chr3,18997
chr18,chr4,14225
chr18,chr5,19694
chr18,chr6,20133
chr18,chr7,20800
chr18,chr8,13225
chr18,chr9,13968
chr18,chrx,14988
chr18,chry,4051
chr19,chr1,53680
chr19,chr10,27003
chr19,chr11,26476
chr19,chr12,28575
chr19,chr13,22037
chr19,chr14,18771
chr19,chr15,21561
chr19,chr16,23605
chr19,chr17,29528
chr19,chr18,12964
chr19,chr2,43672
chr19,chr20,14100
chr19,chr21,7539
chr19,chr22,12846
chr19,chr3,36635
chr19,chr4,28045
chr19,chr5,32189
chr19,chr6,33462
chr19,chr7,36975
chr19,chr8,24012
chr19,chr9,26878
chr19,chrx,27474
chr19,chry,4445
chr2,chr1,89874
chr2,chr10,45097
chr2,chr11,46458
chr2,chr12,46496
chr2,chr13,41089
chr2,chr14,30664
chr2,chr15,33467
chr2,chr16,35635
chr2,chr17,40511
chr2,chr18,23728
chr2,chr19,33360
chr2,chr20,19503
chr2,chr21,13146
chr2,chr22,16522
chr2,chr3,65205
chr2,chr4,49929
chr2,chr5,58188
chr2,chr6,58251
chr2,chr7,62115
chr2,chr8,42505
chr2,chr9,42719
chr2,chrx,44616
chr2,chry,9866
chr20,chr1,23386
chr20,chr10,11327
chr20,chr11,11417
chr20,chr12,12946
chr20,chr13,8627
chr20,chr14,8344
chr20,chr15,8982
chr20,chr16,9446
chr20,chr17,12865
chr20,chr18,5512
chr20,chr19,11618
chr20,chr2,19550
chr20,chr21,3223
chr20,chr22,5647
chr20,chr3,16260
chr20,chr4,12471
chr20,chr5,13787
chr20,chr6,14200
chr20,chr7,15359
chr20,chr8,10816
chr20,chr9,11519
chr20,chrx,12405
chr20,chry,1571
chr21,chr1,14865
chr21,chr10,7710
chr21,chr11,8084
chr21,chr12,7162
chr21,chr13,15893
chr21,chr14,4926
chr21,chr15,8336
chr21,chr16,7083
chr21,chr17,7622
chr21,chr18,4198
chr21,chr19,6629
chr21,chr2,12149
chr21,chr20,3303
chr21,chr22,3391
chr21,chr3,10888
chr21,chr4,7795
chr21,chr5,10432
chr21,chr6,10092
chr21,chr7,10886
chr21,chr8,7100
chr21,chr9,7302
chr21,chrx,6814
chr21,chry,1972
chr22,chr1,21281
chr22,chr10,10225
chr22,chr11,10522
chr22,chr12,10953
chr22,chr13,7836
chr22,chr14,7148
chr22,chr15,8194
chr22,chr16,8985
chr22,chr17,11264
chr22,chr18,4922
chr22,chr19,10605
chr22,chr2,17093
chr22,chr20,5706
chr22,chr21,3227
chr22,chr3,14652
chr22,chr4,10734
chr22,chr5,12100
chr22,chr6,12817
chr22,chr7,14287
chr22,chr8,9792
chr22,chr9,10075
chr22,chrx,10311
chr22,chry,1462
chr3,chr1,63247
chr3,chr10,34621
chr3,chr11,34265
chr3,chr12,32551
chr3,chr13,33988
chr3,chr14,21686
chr3,chr15,25264
chr3,chr16,26569
chr3,chr17,27669
chr3,chr18,19101
chr3,chr19,23904
chr3,chr2,53038
chr3,chr20,13632
chr3,chr21,10188
chr3,chr22,11684
chr3,chr4,34768
chr3,chr5,44763
chr3,chr6,44219
chr3,chr7,45423
chr3,chr8,30902
chr3,chr9,32214
chr3,chrx,34623
chr3,chry,7714
chr4,chr1,27343
chr4,chr10,14967
chr4,chr11,15619
chr4,chr12,14101
chr4,chr13,15254
chr4,chr14,9402
chr4,chr15,10736
chr4,chr16,11438
chr4,chr17,11183
chr4,chr18,8362
chr4,chr19,9475
chr4,chr2,23539
chr4,chr20,6050
chr4,chr21,4466
chr4,chr22,4742
chr4,chr3,20809
chr4,chr5,21067
chr4,chr6,19246
chr4,chr7,20214
chr4,chr8,13806
chr4,chr9,14200
chr4,chrx,16136
chr4,chry,3429
chr5,chr1,47077
chr5,chr10,27993
chr5,chr11,28973
chr5,chr12,22960
chr5,chr13,30380
chr5,chr14,15888
chr5,chr15,20312
chr5,chr16,21276
chr5,chr17,18992
chr5,chr18,16265
chr5,chr19,15394
chr5,chr2,41737
chr5,chr20,9294
chr5,chr21,8673
chr5,chr22,7177
chr5,chr3,37817
chr5,chr4,27469
chr5,chr6,36976
chr5,chr7,38852
chr5,chr8,24616
chr5,chr9,25696
chr5,chrx,27815
chr5,chry,7866
chr6,chr1,46904
chr6,chr10,28244
chr6,chr11,29495
chr6,chr12,24867
chr6,chr13,30756
chr6,chr14,14531
chr6,chr15,20064
chr6,chr16,22707
chr6,chr17,20039
chr6,chr18,17116
chr6,chr19,16263
chr6,chr2,39918
chr6,chr20,9179
chr6,chr21,8231
chr6,chr22,7712
chr6,chr3,36504
chr6,chr4,25753
chr6,chr5,38344
chr6,chr7,40039
chr6,chr8,23626
chr6,chr9,27160
chr6,chrx,25309
chr6,chry,7611
chr7,chr1,45969
chr7,chr10,29028
chr7,chr11,30546
chr7,chr12,23382
chr7,chr13,30875
chr7,chr14,14267
chr7,chr15,19527
chr7,chr16,22007
chr7,chr17,17954
chr7,chr18,17209
chr7,chr19,14402
chr7,chr2,39999
chr7,chr20,8118
chr7,chr21,7677
chr7,chr22,6659
chr7,chr3,36437
chr7,chr4,27840
chr7,chr5,39699
chr7,chr6,38731
chr7,chr8,25357
chr7,chr9,25683
chr7,chrx,27753
chr7,chry,7986
chr8,chr1,28353
chr8,chr10,16809
chr8,chr11,17290
chr8,chr12,14233
chr8,chr13,19633
chr8,chr14,9049
chr8,chr15,12103
chr8,chr16,13705
chr8,chr17,11408
chr8,chr18,10706
chr8,chr19,8844
chr8,chr2,24039
chr8,chr20,4954
chr8,chr21,5018
chr8,chr22,4347
chr8,chr3,21707
chr8,chr4,14903
chr8,chr5,22394
chr8,chr6,22710
chr8,chr7,23190
chr8,chr9,15318
chr8,chrx,14591
chr8,chry,4963
chr9,chr1,7654
chr9,chr10,4276
chr9,chr11,4662
chr9,chr12,3980
chr9,chr13,3204
chr9,chr14,2681
chr9,chr15,3024
chr9,chr16,3442
chr9,chr17,4044
chr9,chr18,2373
chr9,chr19,3466
chr9,chr2,6556
chr9,chr20,2151
chr9,chr21,1092
chr9,chr22,2017
chr9,chr3,5599
chr9,chr4,4680
chr9,chr5,5743
chr9,chr6,5526
chr9,chr7,5056
chr9,chr8,3701
chr9,chrx,4111
chr9,chry,648
chrx,chr1,4987
chrx,chr10,2633
chrx,chr11,3029
chrx,chr12,2627
chrx,chr13,1583
chrx,chr14,1816
chrx,chr15,1860
chrx,chr16,1881
chrx,chr17,2341
chrx,chr18,1178
chrx,chr19,2101
chrx,chr2,4282
chrx,chr20,1513
chrx,chr21,807
chrx,chr22,1179
chrx,chr3,3418
chrx,chr4,3365
chrx,chr5,3339
chrx,chr6,3133
chrx,chr7,3021
chrx,chr8,2813
chrx,chr9,2373
chrx,chry,545
chry,chr1,177
chry,chr10,130
chry,chr11,100
chry,chr12,117
chry,chr13,36
chry,chr14,75
chry,chr15,80
chry,chr16,87
chry,chr17,140
chry,chr18,82
chry,chr19,92
chry,chr2,186
chry,chr20,64
chry,chr21,39
chry,chr22,67
chry,chr3,169
chry,chr4,158
chry,chr5,142
chry,chr6,121
chry,chr7,146
chry,chr8,111
chry,chr9,110
chry,chrx,319
